filer_ein,filer_name_as_filed,filer_state,tax_year,tax_period_end,return_type,object_id,schedule_i_filed,n_org_recipients,part1_501c3_org_cnt,part1_other_org_cnt,grant_records_maintained_ind,part2_cash_grant_total_usd,part2_noncash_total_usd,n_individual_grant_types,part3_individual_cash_total_usd,part3_individual_recipient_cnt,filer_population,filer_in_np_orgs,filer_is_ruled_native,filer_np_tier,filer_np_confidence_tier,filer_np_classification_ruling,filer_tribe_id_np_orgs,source_dir,source_url,zip_member,irs_downloads_page,retrieved_date,built_date,native_status_caveat,cedar_filer_spine_entity_id,cedar_filer_spine_canonical_name,cedar_filer_spine_entity_class,cedar_filer_native_entity_class,cedar_filer_link_tier,cedar_filer_link_basis,cedar_filer_link_key,cedar_filer_link_sources
910682582,Chehalis Lodge #1109 - Loyal Order of Moose Inc,WA,2018,2018-04-30,990,201802329349301020,1,1,1,1,1,5004.00,0.00,1,43224.00,37,np_orgs_candidate_tier_A_unruled,1,0,990_EZ,A,UNRULED,TRBF-CHEHLS-00,irs990_schedc,https://apps.irs.gov/pub/epostcard/990/xml/2018/download990xml_2018_1.zip,201802329349301020_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,TRBF-CHEHLS-00,Chehalis,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment,EIN 910682582,np_orgs
391773613,COLLEGE OF THE MENOMINEE NATION,WI,2020,2020-06-30,990,202141269349301519,1,4,5,0,1,87143.00,0.00,1,243847.00,202,np_orgs_ruled_tribally_controlled,1,1,full_990,A,tribally_controlled,TRBF-MNMNEE-00,irs990_schedc,https://apps.irs.gov/pub/epostcard/990/xml/2021/2021_TEOS_XML_01A.zip,2021Redo_allCycles/202141269349301519_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,TCU-CLLGMN-00,College of Menominee Nation,Tribal College or University,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (core),EIN 391773613,advocacy_passthrough; fac_single_audits
511148560,THE CHEHALIS FOUNDATION,WA,2022,2022-12-31,990,202313199349309716,1,5,1,4,false,681286.00,0.00,1,135930.00,97,np_orgs_candidate_tier_A_unruled,1,0,full_990,A,UNRULED,TRBF-CHEHLS-00,irs990_schedc,https://apps.irs.gov/pub/epostcard/990/xml/2023/2023_TEOS_XML_11A.zip,2023_TEOS_XML_11A/202313199349309716_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,TRBF-CHEHLS-00,Chehalis,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment,EIN 511148560,np_orgs
920162721,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,AK,2024,2024-09-30,990,202502259349301905,1,88,76,13,1,31733034.00,0.00,1,70000.00,13,np_orgs_candidate_tier_B_unruled,1,0,full_990,B,UNRULED,ITO-LSKHLT-00,irs990_schedc,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_08A.zip,202502259349301905_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-LSKHLT-00,Alaska Native Tribal Health Consortium,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 920162721,fac_single_audits; intertribal_register; np_orgs
920094184,Cook Inlet Tribal Council,AK,2024,2024-09-30,990,202532259349301998,1,19,18,1,true,6181463.00,0.00,10,10942028.00,15195,np_orgs_candidate_tier_B_unruled,1,0,full_990,B,UNRULED,ANVC-COUNCI-00,irs990_schedc,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_08A.zip,202532259349301998_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ANVC-COUNCI-00,Council Native Corporation,Alaska Native Village Corporation,ANC,B,script 70 name pass: resolver_containment,EIN 920094184,fac_single_audits; np_orgs
391773613,COLLEGE OF THE MENOMINEE NATION,WI,2025,2025-06-30,990,202611349349300331,1,4,4,0,1,829614.00,0.00,1,514627.00,197,np_orgs_ruled_tribally_controlled,1,1,full_990,A,tribally_controlled,TRBF-MNMNEE-00,irs990_schedc,https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_05A.zip,202611349349300331_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,TCU-CLLGMN-00,College of Menominee Nation,Tribal College or University,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (core),EIN 391773613,advocacy_passthrough; fac_single_audits
920073013,Aleutian Pribilof Islands Association Inc,AK,2017,2017-09-30,990,201821789349301017,1,8,8,0,true,686991.00,0.00,5,320087.00,341,np_orgs_candidate_tier_B_unruled,1,0,full_990,B,UNRULED,SGVF-PRBLFA-00,irs990_grantee,https://apps.irs.gov/pub/epostcard/990/xml/2018/download990xml_2018_4.zip,201821789349301017_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,SGVF-PRBLFA-00,Aleutian Pribilof Islands Association,Federal-level self-governance consortium,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (core),EIN 920073013,fac_single_audits; np_orgs
840640326,AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM INC,VA,2018,2018-09-30,990,201922269349300507,1,21,21,0,1,1445212.00,0.00,1,48930.00,10,np_orgs_candidate_tier_B_unruled,1,0,full_990,B,UNRULED,ITO-HGHRDC-00,irs990_grantee,https://apps.irs.gov/pub/epostcard/990/xml/2019/download990xml_2019_4.zip,201922269349300507_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-HGHRDC-00,American Indian Higher Education Consortium,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 840640326,advocacy_passthrough; np_orgs
391979807,HO-CHUNK HOUSING AND COMMUNITY DEVELOPMENT AGENCY,WI,2020,2020-12-31,990,202103169349307610,1,1,1,0,1,0.00,143080.00,7,3368491.00,2343,np_orgs_candidate_tier_B_unruled,1,0,full_990,B,UNRULED,TRBF-HOCHNK-00,irs990_grantee,https://apps.irs.gov/pub/epostcard/990/xml/2021/2021_TEOS_XML_01A.zip,2021Redo_allCycles/202103169349307610_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,TRBF-HOCHNK-00,Ho-Chunk,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment,EIN 391979807,fac_single_audits; np_orgs
460420063,GREAT PLAINS TRIBAL CHAIRMEN'S HEALTH BOARD DBA OYATE HEALTH CENTER,SD,2019,2019-09-30,990,202130229349300443,1,26,19,7,1,965725.00,0.00,1,130194.00,71,np_orgs_candidate_tier_B_unruled,1,0,full_990,B,UNRULED,ITO-GRTPL1-00,irs990_grantee,https://apps.irs.gov/pub/epostcard/990/xml/2021/2021_TEOS_XML_01A.zip,2021Redo_allCycles/202130229349300443_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-GRTPL1-00,Great Plains Tribal Leaders Health Board,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 460420063,advocacy_passthrough; fac_single_audits; np_orgs
