action_id,action_code,action_type,action_code_year,action_code_year_basis,document_date,document_date_basis,index_post_date,index_post_date_basis,tribe_entity_id,tribe_canonical_name,cedar_uid,tribe_name_as_published,tribe_match_method,tribe_key_verified_by,tribe_key_verdict,record_scope_basis,additional_entity_ids,inclusion_basis,document_title_verbatim,nigc_category,document_url,resolved_document_url,local_document_path,document_bytes,document_md5,document_http_status,document_retrieved,source_authority,source_host,derivation_basis,fetched_date,retrieved_by,built_date
NIGCEA-6C1557C8FB5E,NOV-26-01,NOV,26,two-digit year as printed inside NIGC's own action code; NOT expanded to four digits and NOT used as a date,2026-01-12,parsed from the resolved filename,2026-01-16,"the website's posting date, not the action date",CE-0014T-MK,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",CE-0014T-MK,2026.01.12 NOV-26-01 Grand Traverse,resolver:containment,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:containment), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",2026.01.12 NOV-26-01 Grand Traverse,enforcement-actions,https://www.nigc.gov/download/2026-01-12-nov-26-01-grand-traverse/,https://www.nigc.gov/wp-content/uploads/2026/01/2026.01.12-NOV-26-01-Grand-Traverse.pdf,data/raw/external/nigc_documents/pdf/enforcement-actions__2026-01-12-nov-26-01-grand-traverse.pdf,335638,cfeaf05a939b651a49b891e939a4438b,200,Y,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published document on NIGC's `enforcement-actions` index; a NIGC enforcement action: notice of violation, settlement agreement, civil fine assessment, closure order, temporary closure order or notice of decision and order. No field is inferred: every value is read from the index listing or from the document filename, and the basis columns say which.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCEA-1DA43CA46FED,SA-24-01,SA,24,two-digit year as printed inside NIGC's own action code; NOT expanded to four digits and NOT used as a date,2025-06-10,parsed from the resolved filename,2025-07-15,"the website's posting date, not the action date",CE-0011Z-30,Alabama-Coushatta Tribe of Texas,CE-0011Z-30,Alabama-Coushatta Tribe of Texas SA-24-01,resolver:alias,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:alias), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",Alabama-Coushatta Tribe of Texas SA-24-01,enforcement-actions,https://www.nigc.gov/download/alabama-coushatta-tribe-of-texas-sa-24-01/,https://www.nigc.gov/wp-content/uploads/2025/07/2025.06.10_ACTT_Appeal_DIR-2025-0001_SA_and_order_.pdf,data/raw/external/nigc_documents/pdf/enforcement-actions__alabama-coushatta-tribe-of-texas-sa-24-01.pdf,1881800,e9878c2983c7d22077486b41b5df8a77,200,Y,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published document on NIGC's `enforcement-actions` index; a NIGC enforcement action: notice of violation, settlement agreement, civil fine assessment, closure order, temporary closure order or notice of decision and order. No field is inferred: every value is read from the index listing or from the document filename, and the basis columns say which.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCEA-A4F7222B4B53,NOV-02-01,NOV,02,two-digit year as printed inside NIGC's own action code; NOT expanded to four digits and NOT used as a date,,no date in the filename; the upload path says 2025-03 but an UPLOAD MONTH IS NOT A DOCUMENT DATE and is not promoted,2025-03-04,"the website's posting date, not the action date",CE-0013G-K9,"Comanche Nation, Oklahoma",CE-0013G-K9,Comanche Indian Tribe,resolver:core,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:core), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",Comanche Indian Tribe,enforcement-actions,https://www.nigc.gov/download/comanche-indian-tribe-3/,https://www.nigc.gov/wp-content/uploads/2025/03/NOV-02-01.pdf,data/raw/external/nigc_documents/pdf/enforcement-actions__comanche-indian-tribe-3.pdf,159497,b4e31c30c3becd0df6c719944222aa88,200,Y,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published document on NIGC's `enforcement-actions` index; a NIGC enforcement action: notice of violation, settlement agreement, civil fine assessment, closure order, temporary closure order or notice of decision and order. No field is inferred: every value is read from the index listing or from the document filename, and the basis columns say which.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCEA-6115AD1C5018,NDO-99-05,NDO,99,two-digit year as printed inside NIGC's own action code; NOT expanded to four digits and NOT used as a date,,no date in the filename; the upload path says 2025-03 but an UPLOAD MONTH IS NOT A DOCUMENT DATE and is not promoted,2025-03-04,"the website's posting date, not the action date",CE-00134-BX,Cherokee Nation,CE-00134-BX,Cherokee Nation of Oklahoma,ruling:corrected,code/585_factcheck_nigc_keys.py,CORRECTED,"Staging keyed this to CE-001BS-HA, the United Keetoowah Band of Cherokee Indians in Oklahoma -- a DIFFERENT federally recognized tribe. The spine holds `Cherokee Nation` (CE-00134-BX, Federally recognized tribe, OK). Containment preferred the UKB because the UKB's canonical name happens to contain BOTH distinctive tokens of the filed string ('Cherokee', 'Oklahoma') while `Cherokee Nation` contains only one, so the wrong tribe scored higher.",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",Cherokee Nation of Oklahoma,enforcement-actions,https://www.nigc.gov/download/cherokee-nation-of-oklahoma-7/,https://www.nigc.gov/wp-content/uploads/2025/03/NDO-99-05.pdf,data/raw/external/nigc_documents/pdf/enforcement-actions__cherokee-nation-of-oklahoma-7.pdf,974364,c288b6ea09a3da96708eb773d0765cca,200,Y,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published document on NIGC's `enforcement-actions` index; a NIGC enforcement action: notice of violation, settlement agreement, civil fine assessment, closure order, temporary closure order or notice of decision and order. No field is inferred: every value is read from the index listing or from the document filename, and the basis columns say which.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCEA-FF013354A183,CFA-99-05,CFA,99,two-digit year as printed inside NIGC's own action code; NOT expanded to four digits and NOT used as a date,,no date in the filename; the upload path says 2025-03 but an UPLOAD MONTH IS NOT A DOCUMENT DATE and is not promoted,2025-03-04,"the website's posting date, not the action date",CE-00134-BX,Cherokee Nation,CE-00134-BX,Cherokee Nation of Oklahoma,ruling:corrected,code/585_factcheck_nigc_keys.py,CORRECTED,"Staging keyed this to CE-001BS-HA, the United Keetoowah Band of Cherokee Indians in Oklahoma -- a DIFFERENT federally recognized tribe. The spine holds `Cherokee Nation` (CE-00134-BX, Federally recognized tribe, OK). Containment preferred the UKB because the UKB's canonical name happens to contain BOTH distinctive tokens of the filed string ('Cherokee', 'Oklahoma') while `Cherokee Nation` contains only one, so the wrong tribe scored higher.",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",Cherokee Nation of Oklahoma,enforcement-actions,https://www.nigc.gov/download/cherokee-nation-of-oklahoma-6/,https://www.nigc.gov/wp-content/uploads/2025/03/CFA-99-05.pdf,data/raw/external/nigc_documents/pdf/enforcement-actions__cherokee-nation-of-oklahoma-6.pdf,219738,51f8258659a9ced17a6c0e5fea3b1bd4,200,Y,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published document on NIGC's `enforcement-actions` index; a NIGC enforcement action: notice of violation, settlement agreement, civil fine assessment, closure order, temporary closure order or notice of decision and order. No field is inferred: every value is read from the index listing or from the document filename, and the basis columns say which.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCEA-44148787D570,CO-03-02,CO,03,two-digit year as printed inside NIGC's own action code; NOT expanded to four digits and NOT used as a date,,no date in the filename; the upload path says 2025-03 but an UPLOAD MONTH IS NOT A DOCUMENT DATE and is not promoted,2025-03-04,"the website's posting date, not the action date",CE-0019N-F6,Sac & Fox Tribe of the Mississippi in Iowa,CE-0019N-F6,Sac & Fox Tribe of the Mississippi in Iowa 	CO-03-02,resolver:alias,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:alias), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",Sac & Fox Tribe of the Mississippi in Iowa 	CO-03-02,enforcement-actions,https://www.nigc.gov/download/sac-fox-tribe-of-the-mississippi-in-iowa-co-03-02/,https://www.nigc.gov/wp-content/uploads/2025/03/NOV_03-02_Sac__Fox_Tribe_of_the_Mississippi_in_Iowa.docx,data/raw/external/nigc_documents/pdf/enforcement-actions__sac-fox-tribe-of-the-mississippi-in-iowa-co-03-02.docx,42161,0ad46bd26b4d1316a68728cf30cf3a44,200,Y,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published document on NIGC's `enforcement-actions` index; a NIGC enforcement action: notice of violation, settlement agreement, civil fine assessment, closure order, temporary closure order or notice of decision and order. No field is inferred: every value is read from the index listing or from the document filename, and the basis columns say which.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCEA-ED604ABF3459,NOV-04-02,NOV,04,two-digit year as printed inside NIGC's own action code; NOT expanded to four digits and NOT used as a date,,no date in the filename; the upload path says 2025-03 but an UPLOAD MONTH IS NOT A DOCUMENT DATE and is not promoted,2025-03-04,"the website's posting date, not the action date",CE-0013W-VN,Crow Tribe of Montana,CE-0013W-VN,Crow Tribe of Montana,resolver:alias,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:alias), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",Crow Tribe of Montana,enforcement-actions,https://www.nigc.gov/download/crow-tribe-of-montana-9/,https://www.nigc.gov/wp-content/uploads/2025/03/NOV-04-02.pdf,data/raw/external/nigc_documents/pdf/enforcement-actions__crow-tribe-of-montana-9.pdf,193598,55eaa0e5393a8c0e84627c4e2a234873,200,Y,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published document on NIGC's `enforcement-actions` index; a NIGC enforcement action: notice of violation, settlement agreement, civil fine assessment, closure order, temporary closure order or notice of decision and order. No field is inferred: every value is read from the index listing or from the document filename, and the basis columns say which.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCEA-1E81D666E320,SA-04-03,SA,04,two-digit year as printed inside NIGC's own action code; NOT expanded to four digits and NOT used as a date,,no date in the filename; the upload path says 2025-03 but an UPLOAD MONTH IS NOT A DOCUMENT DATE and is not promoted,2025-03-04,"the website's posting date, not the action date",CE-001AZ-GG,Standing Rock Sioux Tribe of North & South Dakota,CE-001AZ-GG,Standing Rock Sioux Tribe,resolver:containment,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:containment), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",Standing Rock Sioux Tribe,enforcement-actions,https://www.nigc.gov/download/standing-rock-sioux-tribe-7/,https://www.nigc.gov/wp-content/uploads/2025/03/SA-04-03.pdf,data/raw/external/nigc_documents/pdf/enforcement-actions__standing-rock-sioux-tribe-7.pdf,144214,43820a10c75550a61e4d5b706f1353bc,200,Y,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published document on NIGC's `enforcement-actions` index; a NIGC enforcement action: notice of violation, settlement agreement, civil fine assessment, closure order, temporary closure order or notice of decision and order. No field is inferred: every value is read from the index listing or from the document filename, and the basis columns say which.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCEA-C262A924EF4E,NOV-05-02,NOV,05,two-digit year as printed inside NIGC's own action code; NOT expanded to four digits and NOT used as a date,,no date in the filename; the upload path says 2025-03 but an UPLOAD MONTH IS NOT A DOCUMENT DATE and is not promoted,2025-03-04,"the website's posting date, not the action date",CE-0016W-A5,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",CE-0016W-A5,Three Affiliated Tribes of the Fort Berthold Reservation,resolver:containment,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:containment), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",Three Affiliated Tribes of the Fort Berthold Reservation,enforcement-actions,https://www.nigc.gov/download/three-affiliated-tribes-of-the-fort-berthold-reservation-2/,https://www.nigc.gov/wp-content/uploads/2025/03/NOV-05-02.pdf,data/raw/external/nigc_documents/pdf/enforcement-actions__three-affiliated-tribes-of-the-fort-berthold-reservation-2.pdf,162132,f11a04a9e6f447a0200d0b3a655cf62c,200,Y,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published document on NIGC's `enforcement-actions` index; a NIGC enforcement action: notice of violation, settlement agreement, civil fine assessment, closure order, temporary closure order or notice of decision and order. No field is inferred: every value is read from the index listing or from the document filename, and the basis columns say which.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCEA-A3F07FF52A31,NOV-05-05,NOV,05,two-digit year as printed inside NIGC's own action code; NOT expanded to four digits and NOT used as a date,,no date in the filename; the upload path says 2025-03 but an UPLOAD MONTH IS NOT A DOCUMENT DATE and is not promoted,2025-03-04,"the website's posting date, not the action date",CE-001AC-YN,Seneca Nation of Indians,CE-001AC-YN,Seneca Nation of Indians,resolver:core,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:core), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",Seneca Nation of Indians,enforcement-actions,https://www.nigc.gov/download/seneca-nation-of-indians-6/,https://www.nigc.gov/wp-content/uploads/2025/03/NOV-05-05.pdf,data/raw/external/nigc_documents/pdf/enforcement-actions__seneca-nation-of-indians-6.pdf,138491,c810f18e6b4f787e45dd853569783cf9,200,Y,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published document on NIGC's `enforcement-actions` index; a NIGC enforcement action: notice of violation, settlement agreement, civil fine assessment, closure order, temporary closure order or notice of decision and order. No field is inferred: every value is read from the index listing or from the document filename, and the basis columns say which.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
