observation_id,observation_kind,assertion_class,assertion_class_note,not_summable_with,metric,value,value_verbatim,unit,value_is_bounded,bound_direction,bound_basis,measurement_scope,measurement_scope_basis,text_value,tribe_id,cedar_uid,tribe_name,facility_ids,facility_names,n_facilities_for_tribe,facility_attribution_status,state,site_host,source_url,source_quote,page_class,discovered_via,technique,retrieved_at,as_of_date,as_of_date_precision,as_of_date_basis,source_file,source_md5,http_status,page_verdict,page_verdict_basis,population_basis,inclusion_basis,confidence,built_by,built_date
GWH-efcac6c784420941,CAPACITY_SIGNAL,SELF_PUBLISHED_OPERATOR_ASSERTION,SELF-PUBLISHED BY THE OPERATOR. Never a regulator's figure; must not be summed against NIGC or state-regulator numbers.,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,gaming_machines,450,450+ Slots,count,Y,at_least,trailing '+' in the operator's own wording,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,,TRBF-CORIVR-00,CE-0013N-H6,Colorado River,CCP-44500,BlueWater Resort & Casino,1,SINGLE_FACILITY_TRIBE,AZ,bluewater-casino-resort.com,https://bluewater-casino-resort.com/casino/,Blue Water Resort & Casino CALENDAR THE CLUB CAREERS PROMOTIONS BOOK A ROOM! TICKETS PLAY Enjoy Table Games & 450+ Slots STAY Discover Luxury Suites & Resort Amenities DINE Experience Casual & Fine Dining Delights SPLASH Cool Off,capacity_identity,wp_pages,docs/HIDDEN_DATA_TECHNIQUES.md #4 (sitemap) / #3 (WP REST pages) -> page text,2026-09-02T10:26:50.032341+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,bluewater-casino-resort.com__20d220ffa65c971e.html,dfdb4bdafa7f216386fd0181eacd60d7,200,,,cedar_gaming_facilities_and_web_map,"cedar_observation: regex-extracted from the operator's own page text, verbatim quote retained",low_needs_review,code/980_gaming_web_harvest.py,2026-09-02
GWH-e64b740b806cd22a,CAPACITY_SIGNAL,SELF_PUBLISHED_OPERATOR_ASSERTION,SELF-PUBLISHED BY THE OPERATOR. Never a regulator's figure; must not be summed against NIGC or state-regulator numbers.,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,gaming_machines,450,450+ Slots,count,Y,at_least,trailing '+' in the operator's own wording,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,,TRBF-CORIVR-00,CE-0013N-H6,Colorado River,CCP-44500,BlueWater Resort & Casino,1,SINGLE_FACILITY_TRIBE,AZ,bluewater-casino-resort.com,https://bluewater-casino-resort.com/about/,ino Resort on the Colorado CALENDAR THE CLUB CAREERS PROMOTIONS BOOK A ROOM! TICKETS PLAY Enjoy Table Games & 450+ Slots STAY Discover Luxury Suites & Resort Amenities DINE Experience Casual & Fine Dining Delights SPLASH Cool Off,capacity_identity,wp_pages,docs/HIDDEN_DATA_TECHNIQUES.md #4 (sitemap) / #3 (WP REST pages) -> page text,2026-09-02T10:26:50.032341+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,bluewater-casino-resort.com__4e1a5cbe6d662b44.html,24dfad427065022d2c4d3ac183437e22,200,,,cedar_gaming_facilities_and_web_map,"cedar_observation: regex-extracted from the operator's own page text, verbatim quote retained",low_needs_review,code/980_gaming_web_harvest.py,2026-09-02
GWH-4af5d981f0a8e2c3,CAPACITY_SIGNAL,SELF_PUBLISHED_OPERATOR_ASSERTION,SELF-PUBLISHED BY THE OPERATOR. Never a regulator's figure; must not be summed against NIGC or state-regulator numbers.,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,gaming_machines,900,900+ slot machines,count,Y,at_least,trailing '+' in the operator's own wording,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,,TRBF-CHCKNR-00,CE-00132-ZB,Chicken Ranch,CCP-41600,Chicken Ranch Bingo & Casino,1,SINGLE_FACILITY_TRIBE,CA,chickenranchcasinoresort.com,https://chickenranchcasinoresort.com/gaming,"oor, or see what we have to offer. High Limit Slots Table Games SLOTS GO FOR A SPIN! Spin to win on one of our 900+ slot machines! Brand new, primed, and ready for play. We’ve even got a few classics for the more seasoned birds. Slot Machi",capacity_identity,sitemap,docs/HIDDEN_DATA_TECHNIQUES.md #4 (sitemap) / #3 (WP REST pages) -> page text,2026-09-02T10:26:50.032341+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,chickenranchcasinoresort.com__38dc34c541b4abc6.html,fd56434dde15a67fb9e8ae691f6dac80,200,,,cedar_gaming_facilities_and_web_map,"cedar_observation: regex-extracted from the operator's own page text, verbatim quote retained",low_needs_review,code/980_gaming_web_harvest.py,2026-09-02
GWH-616978dc3bec5bfc,CAPACITY_SIGNAL,SELF_PUBLISHED_OPERATOR_ASSERTION,SELF-PUBLISHED BY THE OPERATOR. Never a regulator's figure; must not be summed against NIGC or state-regulator numbers.,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,gaming_machines,2300,"over 2,300 slot machines",count,Y,at_least,,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,,TRBF-STAYNZ-00,CE-001AW-Y5,Santa Ynez,CCP-42800,Chumash Casino Resort,1,SINGLE_FACILITY_TRIBE,CA,chumash.gov,https://chumash.gov/press-releases/ventura-county-man-hits-137k-jackpot-on-four-card-poker-at-chumash-casino-resort,"d and operated by the Santa Ynez Band of Chumash Indians. The casino’s gaming floor is open 24/7 and features over 2,300 slot machines, 45 table games, poker, bingo, and weekly car giveaways. ### Download as PDF Sean Larsen July 31, 2023 Facebo",capacity_identity,sitemap,docs/HIDDEN_DATA_TECHNIQUES.md #4 (sitemap) / #3 (WP REST pages) -> page text,2026-09-02T10:26:50.032341+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,chumash.gov__0bd3ecee48e82ceb.html,b7c93a9bd8dbf2a674e817c377ae8f07,200,,,cedar_gaming_facilities_and_web_map,"cedar_observation: regex-extracted from the operator's own page text, verbatim quote retained",low_needs_review,code/980_gaming_web_harvest.py,2026-09-02
GWH-c1f993ab77c9d91b,CAPACITY_SIGNAL,SELF_PUBLISHED_OPERATOR_ASSERTION,SELF-PUBLISHED BY THE OPERATOR. Never a regulator's figure; must not be summed against NIGC or state-regulator numbers.,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,gaming_machines,500,500 + Slot Machines,count,Y,at_least,trailing '+' in the operator's own wording,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,,TRBF-IOWAOK-00,CE-0015A-SK,Iowa of Oklahoma,CCP-304800;CCP-746400;CCP-1189500,Cimarron Casino;Ioway Casino;Ioway Travel Plaza,3,TRIBE_LEVEL_MULTI_FACILITY_NOT_DISAMBIGUATED,OK,cimarroncasino.com,https://cimarroncasino.com/casino/,ack periodically for new games! Texas Hold 'Em Blackjack Free Bonus Blackjack Jackpot Hold 'Em Chase the Flush 500 + Slot Machines Slot Machines: Sunday - Wednesday 9:00 AM - 12:00 AM Thursday 9:00 AM - 2:00 AM Friday - Saturday - 9:00 AM -,capacity_identity,wp_pages,docs/HIDDEN_DATA_TECHNIQUES.md #4 (sitemap) / #3 (WP REST pages) -> page text,2026-09-02T10:26:50.032341+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,cimarroncasino.com__a0ba192ee74f5773.html,fa2e265c61a51876a4d7dc304f3eaacf,200,,,cedar_gaming_facilities_and_web_map,"cedar_observation: regex-extracted from the operator's own page text, verbatim quote retained",low_needs_review,code/980_gaming_web_harvest.py,2026-09-02
GWH-e36fc35bdded84ad,CAPACITY_SIGNAL,SELF_PUBLISHED_OPERATOR_ASSERTION,SELF-PUBLISHED BY THE OPERATOR. Never a regulator's figure; must not be summed against NIGC or state-regulator numbers.,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,employees,400,over 400 employees,count,Y,at_least,,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,,TRBF-CVERDE-00,CE-0013Z-D0,Yavapai-Apache,CCP-65900,Cliff Castle Casino Hotel,1,SINGLE_FACILITY_TRIBE,AZ,cliffcastlecasino.com,https://cliffcastlecasino.com/about/,"center. Rooted in the Community Cliff Castle Casino is one of the largest employers in the Verde Valley, with over 400 employees. We are dedicated to being a responsible neighbor, and through our gaming endeavors, the Yavapai-Apache Natio",capacity_identity,wp_pages,docs/HIDDEN_DATA_TECHNIQUES.md #4 (sitemap) / #3 (WP REST pages) -> page text,2026-09-02T10:26:50.032341+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,cliffcastlecasino.com__89934aad1be03aa3.html,011addc454b89c170e78067df0c15721,200,,,cedar_gaming_facilities_and_web_map,"cedar_observation: regex-extracted from the operator's own page text, verbatim quote retained",low_needs_review,code/980_gaming_web_harvest.py,2026-09-02
GWH-7443e11d13d12989,CAPACITY_SIGNAL,SELF_PUBLISHED_OPERATOR_ASSERTION,SELF-PUBLISHED BY THE OPERATOR. Never a regulator's figure; must not be summed against NIGC or state-regulator numbers.,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,hotel_rooms,1900,"more than 1,900 hotel rooms",count,Y,at_least,,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,,TRBF-MSHNTK-00,CE-0017C-F5,Mashantucket Pequot,VP-0042;VP-0037;CCP-10600;VP-0002,Foxwoods;Foxwoods Casino;Foxwoods Resort Casino;Lake of Isles (Foxwoods Golf),4,TRIBE_LEVEL_MULTI_FACILITY_NOT_DISAMBIGUATED,CT,foxwoods.com,https://foxwoods.com/Foxwoods-Marks-40-Years-Bingo-1Million-Firecracker-Bingo-Guinness-World-Records-Title,"morable experiences and continuously expanding the possibilities of the guest experience. The resort features more than 1,900 hotel rooms across three distinct hotel towers, expansive gaming floors, Tanger Outlets shopping, and over 175,000 square",capacity_identity,sitemap,docs/HIDDEN_DATA_TECHNIQUES.md #4 (sitemap) / #3 (WP REST pages) -> page text,2026-09-02T10:26:50.032341+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,foxwoods.com__4af48213407112aa.html,2ba91ac5552a0cae55779859aa045260,200,,,cedar_gaming_facilities_and_web_map,"cedar_observation: regex-extracted from the operator's own page text, verbatim quote retained",low_needs_review,code/980_gaming_web_harvest.py,2026-09-02
GWH-74184944b01f4928,CAPACITY_SIGNAL,SELF_PUBLISHED_OPERATOR_ASSERTION,SELF-PUBLISHED BY THE OPERATOR. Never a regulator's figure; must not be summed against NIGC or state-regulator numbers.,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,gaming_machines,1600,1600+ Electronic Games,count,Y,at_least,trailing '+' in the operator's own wording,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,,TRBF-OSAGEN-00,CE-00180-C9,The Osage Nation,CCP-783500;CCP-659000;CCP-659100;CCP-662000;CCP-859600;CCP-863200;CCP-689400;VP-0199;VP-0194;VP-0193,Osage Casino - Bartlesville;Osage Casino - Hominy;Osage Casino - Pawhuska;Osage Casino - Sand Springs;Osage Casino Hotel - Ponca City;Osage Casino Hotel - Skiatook;Osage Casino Hotel - Tulsa;Osage Casino Ponca City;Osage Casino Skiatook;Osage Casino Tulsa,10,TRIBE_LEVEL_MULTI_FACILITY_NOT_DISAMBIGUATED,OK,osagecasino.com,https://osagecasino.com/gaming/,"nment and exciting casino floors, every trip to Osage Casino Hotel promises an unforgettable experience. Tulsa 1600+ Electronic Games Open 24 hours Table Games Mon - Fri, 12pm - 4am Sat - Sun, 10am - 4am Craps Tues - Sat, 6pm - 2am Roulette Tu",capacity_identity,wp_pages,docs/HIDDEN_DATA_TECHNIQUES.md #4 (sitemap) / #3 (WP REST pages) -> page text,2026-09-02T10:26:50.032341+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,osagecasino.com__c70dfc2aa11b1c33.html,9b08251fc0fbb221dc3d1efb37b10203,200,,,cedar_gaming_facilities_and_web_map,"cedar_observation: regex-extracted from the operator's own page text, verbatim quote retained",low_needs_review,code/980_gaming_web_harvest.py,2026-09-02
GWH-d0a4a46c46e62aac,CAPACITY_SIGNAL,SELF_PUBLISHED_OPERATOR_ASSERTION,SELF-PUBLISHED BY THE OPERATOR. Never a regulator's figure; must not be summed against NIGC or state-regulator numbers.,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,gaming_machines,215,215+ Electronic Games,count,Y,at_least,trailing '+' in the operator's own wording,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,,TRBF-OSAGEN-00,CE-00180-C9,The Osage Nation,CCP-783500;CCP-659000;CCP-659100;CCP-662000;CCP-859600;CCP-863200;CCP-689400;VP-0199;VP-0194;VP-0193,Osage Casino - Bartlesville;Osage Casino - Hominy;Osage Casino - Pawhuska;Osage Casino - Sand Springs;Osage Casino Hotel - Ponca City;Osage Casino Hotel - Skiatook;Osage Casino Hotel - Tulsa;Osage Casino Ponca City;Osage Casino Skiatook;Osage Casino Tulsa,10,TRIBE_LEVEL_MULTI_FACILITY_NOT_DISAMBIGUATED,OK,osagecasino.com,https://osagecasino.com/gaming/,"ning Options Location: 5591 West Rogers Blvd. Skiatook, OK 74070 Open 24/7 View Floor Map Entertainment Hominy 215+ Electronic Games Dining Options Location: 39 Deer Ave. Hominy, OK 74035 10 am - 12 am View Floor Map Entertainment Pawhuska 26",capacity_identity,wp_pages,docs/HIDDEN_DATA_TECHNIQUES.md #4 (sitemap) / #3 (WP REST pages) -> page text,2026-09-02T10:26:50.032341+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,osagecasino.com__c70dfc2aa11b1c33.html,9b08251fc0fbb221dc3d1efb37b10203,200,,,cedar_gaming_facilities_and_web_map,"cedar_observation: regex-extracted from the operator's own page text, verbatim quote retained",low_needs_review,code/980_gaming_web_harvest.py,2026-09-02
GWH-0b9761cad31695bb,CAPACITY_SIGNAL,SELF_PUBLISHED_OPERATOR_ASSERTION,SELF-PUBLISHED BY THE OPERATOR. Never a regulator's figure; must not be summed against NIGC or state-regulator numbers.,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,gaming_square_feet,30000,"30,000+ sq ft of gaming",square_feet,Y,at_least,trailing '+' in the operator's own wording,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,,TRBF-ALCOUS-00,CE-0011Z-30,Alabama-Coushatta,TPL-0139;VP-0411;CCP-1189400,Alabama-Coushatta Entertainment Center;Naskila Casino;Naskila Entertainment,3,TRIBE_LEVEL_MULTI_FACILITY_NOT_DISAMBIGUATED,TX,www.naskila.com,https://www.naskila.com/about-us/,"Stop in for a first-class entertainment experience 24 hours a day, seven days a week! 1,000+ gaming machines 30,000+ sq ft of gaming space 24/7 gaming Hear what our winners have to say Big parking lot, complimentary soft drinks, coffee and wa",capacity_identity,wp_pages,docs/HIDDEN_DATA_TECHNIQUES.md #4 (sitemap) / #3 (WP REST pages) -> page text,2026-09-02T10:26:50.032341+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,www.naskila.com__fa074b97c431ddd1.html,945760e7c6535de1392bb722966557cd,200,,,cedar_gaming_facilities_and_web_map,"cedar_observation: regex-extracted from the operator's own page text, verbatim quote retained",low_needs_review,code/980_gaming_web_harvest.py,2026-09-02
