assertion_id,assertion_class,assertion_subclass,assertion_class_note,asserted_value,asserted_value_verbatim,asserted_precision,asserted_owner_names_tribal_form,asserted_owner_is_management_brand,cedar_curated_owner,agrees_with_curated_owner,cedar_open_date,cedar_open_date_precision,agrees_with_cedar_open_year,facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,tribe_id,tribe_name,state,entity_id,site_host,source_url,source_quote,retrieved_at,as_of_date,as_of_date_precision,as_of_date_basis,source_file,source_md5,attribution_basis,confidence,built_by_script,built_date,cedar_uid,record_scope,record_scope_basis,inclusion_basis,built_by,facility_attribution_status,tribe_facility_ids_not_disambiguated,n_facilities_for_tribe,duplicate_within_source_page,not_summable_with
SPA-70704c0352e5,SELF_PUBLISHED_OWNERSHIP_ASSERTION,owned_and_operated_by,"deliberately OUTSIDE cedar_domain.MeasurementType. A MANAGEMENT BRAND IS NOT OWNERSHIP - Caesars MANAGES Harrah's Cherokee, EBCI OWNS it - so an 'operated by' sentence and a known management brand are typed MANAGEMENT_ASSERTION and are never ownership evidence. Cedar's curated gaming_facilities.csv outranks every row in this file; nothing here overwrites, mints or promotes an owner.",the Nez Perce Tribe,"l operation in Idaho, the regulatory picture is different from a typical state-licensed casino. The casino is owned and operated by the Nez Perce Tribe, which means tribal gaming oversight and internal controls designed to protect game integrity and player fund",,Y,N,Nez Perce Tribe,SHARES_TOKEN:perce,,,,CCP-335500,,CEDAR-PLACE-000156-WW,Clearwater River Casino,TRBF-NEZPRC-00,Nez Perce Tribe,ID,TRBF-NEZPRC-00,clearwaterrivercasino.com,https://clearwaterrivercasino.com/,"l operation in Idaho, the regulatory picture is different from a typical state-licensed casino. The casino is owned and operated by the Nez Perce Tribe, which means tribal gaming oversight and internal controls designed to protect game integrity and player fund",2026-08-12,2026-08-12,observed_on_retrieval_date,"the operator does not date its own marketing copy; this is the date Cedar captured the page, and it is an upper bound on when the claim was true",clearwaterrivercasino.com__a8ee6916e74b4ba2.html,e1aaee6de0291bb9b9a265cdab8aa9a8,single_property_host,B,code/382_remine_property_site_corpus.py,2026-09-01,CE-0017H-D2,entity,the assertion is published on the property's own host and the property resolves to one Native entity,published on the website of a gaming property in Cedar's facility universe,code/588_promote_self_published_claims.py,,,,,
SPA-a56a04bb2bfe,SELF_PUBLISHED_OWNERSHIP_ASSERTION,enterprise_of,"deliberately OUTSIDE cedar_domain.MeasurementType. A MANAGEMENT BRAND IS NOT OWNERSHIP - Caesars MANAGES Harrah's Cherokee, EBCI OWNS it - so an 'operated by' sentence and a known management brand are typed MANAGEMENT_ASSERTION and are never ownership evidence. Cedar's curated gaming_facilities.csv outranks every row in this file; nothing here overwrites, mints or promotes an owner.",the Confederated Tribes,"Perfect Attendance Bonus* Terms and conditions apply* Supporting Communities in North Central Washington + As an enterprise of the Confederated Tribes of the Colville Reservation, these casinos are deeply connected to a sovereign heritage. The “12 Tribes” name",,Y,N,Confederated Tribes of the Colville Reservation,no_distinctive_token_either_side,,,,CCP-865000,,CEDAR-PLACE-000560-N0,12 Tribes Resort Casino,TRBF-COLVLL-00,Confederated Tribes of the Colville Reservation,WA,TRBF-COLVLL-00,colvillecasinos.com,https://colvillecasinos.com/employment/,"Perfect Attendance Bonus* Terms and conditions apply* Supporting Communities in North Central Washington + As an enterprise of the Confederated Tribes of the Colville Reservation, these casinos are deeply connected to a sovereign heritage. The “12 Tribes” name",2026-08-12,2026-08-12,observed_on_retrieval_date,"the operator does not date its own marketing copy; this is the date Cedar captured the page, and it is an upper bound on when the claim was true",colvillecasinos.com__9464029a9150c70f.html,a2e5f9cab19ce594e538c3e322e65fe6,single_property_host,B,code/382_remine_property_site_corpus.py,2026-09-01,CE-0013K-5M,entity,the assertion is published on the property's own host and the property resolves to one Native entity,published on the website of a gaming property in Cedar's facility universe,code/588_promote_self_published_claims.py,,,,,
SPA-3d8017da6977,SELF_PUBLISHED_MANAGEMENT_ASSERTION,operated_by,"deliberately OUTSIDE cedar_domain.MeasurementType. A MANAGEMENT BRAND IS NOT OWNERSHIP - Caesars MANAGES Harrah's Cherokee, EBCI OWNS it - so an 'operated by' sentence and a known management brand are typed MANAGEMENT_ASSERTION and are never ownership evidence. Cedar's curated gaming_facilities.csv outranks every row in this file; nothing here overwrites, mints or promotes an owner.",the Eastern Shawnee Tribe of Oklahoma. The,Shawanoe Restaurant and Creekside Bar & Grill. Working for a Stronger Community Indigo Sky Casino is owned & operated by the Eastern Shawnee Tribe of Oklahoma. The net income from Indigo Sky Casino and all other Eastern Shawnee businesses helps to provide essential service,,Y,N,Eastern Shawnee Tribe of Oklahoma,SHARES_TOKEN:eastern|oklahoma|shawnee,,,,CCP-962300,,CEDAR-PLACE-000679-KZ,Indigo Sky Casino & Resort,TRBF-ESHAWN-00,Eastern Shawnee Tribe of Oklahoma,OK,TRBF-ESHAWN-00,indigoskycasino.com,https://indigoskycasino.com/about-indigo-sky-casino/,Shawanoe Restaurant and Creekside Bar & Grill. Working for a Stronger Community Indigo Sky Casino is owned & operated by the Eastern Shawnee Tribe of Oklahoma. The net income from Indigo Sky Casino and all other Eastern Shawnee businesses helps to provide essential service,2026-08-12,2026-08-12,observed_on_retrieval_date,"the operator does not date its own marketing copy; this is the date Cedar captured the page, and it is an upper bound on when the claim was true",indigoskycasino.com__a8360a580dcd98bb.html,0934f3cffd903d84b2c67548478c65a0,single_property_host,B,code/382_remine_property_site_corpus.py,2026-09-01,CE-0014A-M3,entity,the assertion is published on the property's own host and the property resolves to one Native entity,published on the website of a gaming property in Cedar's facility universe,code/588_promote_self_published_claims.py,,,,,
SPA-158df3669e65,SELF_PUBLISHED_DATE_ASSERTION,in_operation_since,"deliberately OUTSIDE cedar_domain.MeasurementType: a date measures nothing about capacity or employment. It is a RE-SOURCING LEAD for the 415 gaming dates that were downgraded off fabricated day-precision, and its own precision is YEAR - never a day.",2012,"earned the Certificate of Excellence Award from TripAdvisor ® – the world's largest travel site – every year since 2012 for consistent “4” ratings and positive reviews from guests. In fall of 2012, a $53 million hotel tower expan",year,,,,,2004-05-01,day,DIFFERS_2004_vs_2012,CCP-635600,,CEDAR-PLACE-000704-E0,Seneca Allegany Casino & Hotel,TRBF-SNCNAT-00,Seneca Nation of Indians,NY,TRBF-SNCNAT-00,senecaalleganycasino.com,https://senecaalleganycasino.com/about-us/,"earned the Certificate of Excellence Award from TripAdvisor ® – the world's largest travel site – every year since 2012 for consistent “4” ratings and positive reviews from guests. In fall of 2012, a $53 million hotel tower expan",2026-08-12,2026-08-12,observed_on_retrieval_date,"the operator does not date its own marketing copy; this is the date Cedar captured the page, and it is an upper bound on when the claim was true",senecaalleganycasino.com__8f11acc7a947cb8c.html,671c648ddd0670eee237dbfefc7ea57b,single_property_host,B,code/382_remine_property_site_corpus.py,2026-09-01,CE-001AC-YN,entity,the assertion is published on the property's own host and the property resolves to one Native entity,published on the website of a gaming property in Cedar's facility universe,code/588_promote_self_published_claims.py,,,,,
SPA-4d57c9b88ca0,SELF_PUBLISHED_DATE_ASSERTION,opening,"deliberately OUTSIDE cedar_domain.MeasurementType: a date measures nothing about capacity or employment. It is a RE-SOURCING LEAD for the 415 gaming dates that were downgraded off fabricated day-precision, and its own precision is YEAR - never a day.",2008,"ng of construction work on the southern expansion project at Spirit Mountain. The expansion was completed and opened on May 15, 2008. The fourth major expansion added 132,000 square feet of space to the casino and is the new home of the Cedar",year,,,,,1995,year,DIFFERS_1995_vs_2008,CCP-123400,,CEDAR-PLACE-000536-0R,Spirit Mountain Casino,TRBF-GRNRND-00,Confederated Tribes of Grande Ronde,OR,TRBF-GRNRND-00,spiritmountain.com,https://spiritmountain.com/history/,"ng of construction work on the southern expansion project at Spirit Mountain. The expansion was completed and opened on May 15, 2008. The fourth major expansion added 132,000 square feet of space to the casino and is the new home of the Cedar",2026-08-12,2026-08-12,observed_on_retrieval_date,"the operator does not date its own marketing copy; this is the date Cedar captured the page, and it is an upper bound on when the claim was true",spiritmountain.com__3edd01dddbafa76f.html,f9815bac0492e2f9c15fc07b77caad2d,single_property_host,B,code/382_remine_property_site_corpus.py,2026-09-01,CE-0014S-ET,entity,the assertion is published on the property's own host and the property resolves to one Native entity,published on the website of a gaming property in Cedar's facility universe,code/588_promote_self_published_claims.py,,,,,
SPA-a13ee4db52a9,SELF_PUBLISHED_DATE_ASSERTION,opening,"deliberately OUTSIDE cedar_domain.MeasurementType: a date measures nothing about capacity or employment. It is a RE-SOURCING LEAD for the 415 gaming dates that were downgraded off fabricated day-precision, and its own precision is YEAR - never a day.",2007,"he region's most trusted gaming and entertainment destinations. 2007 Grand Opening When Cherokee Casino Grove first opened its doors back in 2007, the whole town was buzzing about it. The Cherokee Nation built this place with a real vision for bringing en",year,,,,,2016,year,DIFFERS_2016_vs_2007,CCP-1202100,,CEDAR-PLACE-000383-HQ,Cherokee Casino Grove,TRBF-CHKNAT-00,Cherokee Nation,OK,TRBF-CHKNAT-00,www.cherokeecasinogrove.com,https://www.cherokeecasinogrove.com/slot-finder/,"he region's most trusted gaming and entertainment destinations. 2007 Grand Opening When Cherokee Casino Grove first opened its doors back in 2007, the whole town was buzzing about it. The Cherokee Nation built this place with a real vision for bringing en",2026-08-12,2026-08-12,observed_on_retrieval_date,"the operator does not date its own marketing copy; this is the date Cedar captured the page, and it is an upper bound on when the claim was true",www.cherokeecasinogrove.com__0db4479edd45d98b.html,6df62c0806e4cdade3cabd60fc8c5d56,single_property_host,B,code/382_remine_property_site_corpus.py,2026-09-01,CE-00134-BX,entity,the assertion is published on the property's own host and the property resolves to one Native entity,published on the website of a gaming property in Cedar's facility universe,code/588_promote_self_published_claims.py,,,,,
SPA-298d098e3f77,SELF_PUBLISHED_CONTACT_ASSERTION,telephone,"SELF-PUBLISHED BY THE OPERATOR: what the property states about its own identity on its own website, most of it from schema.org markup the page publishes for search engines. It is evidence of what the operator SAYS, which is not the same as a regulator's or a registrar's record of the same fact. It measures no capacity and no money.","[""(360) 683-1109""]","{""type"": ""Organization"", ""name"": ""Jamestown S'Klallam Tribe"", ""telephone"": [""(360) 683-1109""], ""latitude"": ""48.0254542"", ""longitude"": ""-122.9962656"", ""openingHours"": [{""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""09:00"", ""closes"": ""17:00""}, {""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""00:00""}], ""url"": ""https://jamestowntribe.org/""}",,,,,,,,not_comparable_this_subclass,CCP-24850,,CEDAR-PLACE-000561-VS,7 Cedars Casino,TRBF-JMSTSK-00,Jamestown,WA,TRBF-JMSTSK-00,jamestowntribe.org,https://jamestowntribe.org/,"{""type"": ""Organization"", ""name"": ""Jamestown S'Klallam Tribe"", ""telephone"": [""(360) 683-1109""], ""latitude"": ""48.0254542"", ""longitude"": ""-122.9962656"", ""openingHours"": [{""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""09:00"", ""closes"": ""17:00""}, {""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""00:00""}], ""url"": ""https://jamestowntribe.org/""}",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,jamestowntribe.org__9ed9b3abc79f2c97.html,c1564cd012870dc9526d95de60f4ce3c,single_facility_tribe,medium,code/980_gaming_web_harvest.py,2026-09-02,CE-0015G-X9,entity,the assertion is published on a host operated by one Native entity,published on the website of a gaming property in Cedar's facility universe,code/1094_merge_web_harvest_into_gaming_claims.py,SINGLE_FACILITY_TRIBE,,1,GWH-19598a5b485eef50;GWH-397f3e7dd00c66a9,"nothing - this row carries no additive measure. It is an identity, location, contact or hours statement."
SPA-a7c9a570f1a5,SELF_PUBLISHED_IDENTITY_ASSERTION,legal_or_published_name,"SELF-PUBLISHED BY THE OPERATOR: what the property states about its own identity on its own website, most of it from schema.org markup the page publishes for search engines. It is evidence of what the operator SAYS, which is not the same as a regulator's or a registrar's record of the same fact. It measures no capacity and no money.",Organized Village of Kake,"{""type"": ""Organization"", ""name"": ""Organized Village of Kake"", ""url"": ""https://kake-nsn.gov/""}",,,,,,,,not_comparable_this_subclass,CCP-686900,,CEDAR-PLACE-000001-6S,Keex Kwan Gaming – Bingo,AKNF-VLKAKE-00-SEALSK-TLNGHD,Kake,AK,AKNF-VLKAKE-00-SEALSK-TLNGHD,kake-nsn.gov,https://kake-nsn.gov/,"{""type"": ""Organization"", ""name"": ""Organized Village of Kake"", ""url"": ""https://kake-nsn.gov/""}",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,kake-nsn.gov__e58eaf32823e0ee4.html,ced9099e19efea8ed9c35358b0f9f7df,single_facility_tribe,medium,code/980_gaming_web_harvest.py,2026-09-02,CE-0006Y-JE,entity,the assertion is published on a host operated by one Native entity,published on the website of a gaming property in Cedar's facility universe,code/1094_merge_web_harvest_into_gaming_claims.py,SINGLE_FACILITY_TRIBE,,1,GWH-45c73bb719384042;GWH-9a7bad40a65af252,"nothing - this row carries no additive measure. It is an identity, location, contact or hours statement."
SPA-0fd26c57aa2a,SELF_PUBLISHED_IDENTITY_ASSERTION,legal_or_published_name,"SELF-PUBLISHED BY THE OPERATOR: what the property states about its own identity on its own website, most of it from schema.org markup the page publishes for search engines. It is evidence of what the operator SAYS, which is not the same as a regulator's or a registrar's record of the same fact. It measures no capacity and no money.",Jamestown S'Klallam Tribe,"{""type"": ""Organization"", ""name"": ""Jamestown S'Klallam Tribe"", ""telephone"": [""(360) 683-1109""], ""latitude"": ""48.0254542"", ""longitude"": ""-122.9962656"", ""openingHours"": [{""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""09:00"", ""closes"": ""17:00""}, {""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""00:00""}], ""url"": ""https://jamestowntribe.org/""}",,,,,,,,not_comparable_this_subclass,CCP-24850,,CEDAR-PLACE-000561-VS,7 Cedars Casino,TRBF-JMSTSK-00,Jamestown,WA,TRBF-JMSTSK-00,www.jamestowntribe.org,https://jamestowntribe.org/,"{""type"": ""Organization"", ""name"": ""Jamestown S'Klallam Tribe"", ""telephone"": [""(360) 683-1109""], ""latitude"": ""48.0254542"", ""longitude"": ""-122.9962656"", ""openingHours"": [{""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""09:00"", ""closes"": ""17:00""}, {""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""00:00""}], ""url"": ""https://jamestowntribe.org/""}",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,jamestowntribe.org__9ed9b3abc79f2c97.html,c1564cd012870dc9526d95de60f4ce3c,single_facility_tribe,medium,code/980_gaming_web_harvest.py,2026-09-02,CE-0015G-X9,entity,the assertion is published on a host operated by one Native entity,published on the website of a gaming property in Cedar's facility universe,code/1094_merge_web_harvest_into_gaming_claims.py,SINGLE_FACILITY_TRIBE,,1,GWH-423966adbccc2049;GWH-7bc7a0cf17b9a76d,"nothing - this row carries no additive measure. It is an identity, location, contact or hours statement."
SPA-c5249524414d,SELF_PUBLISHED_IDENTITY_ASSERTION,property_type_schema_org,"SELF-PUBLISHED BY THE OPERATOR: what the property states about its own identity on its own website, most of it from schema.org markup the page publishes for search engines. It is evidence of what the operator SAYS, which is not the same as a regulator's or a registrar's record of the same fact. It measures no capacity and no money.",Organization,"{""type"": ""Organization"", ""name"": ""Jamestown S'Klallam Tribe"", ""telephone"": [""(360) 683-1109""], ""latitude"": ""48.0254542"", ""longitude"": ""-122.9962656"", ""openingHours"": [{""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""09:00"", ""closes"": ""17:00""}, {""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""00:00""}], ""url"": ""https://jamestowntribe.org/""}",,,,,,,,not_comparable_this_subclass,CCP-24850,,CEDAR-PLACE-000561-VS,7 Cedars Casino,TRBF-JMSTSK-00,Jamestown,WA,TRBF-JMSTSK-00,www.jamestowntribe.org,https://jamestowntribe.org/,"{""type"": ""Organization"", ""name"": ""Jamestown S'Klallam Tribe"", ""telephone"": [""(360) 683-1109""], ""latitude"": ""48.0254542"", ""longitude"": ""-122.9962656"", ""openingHours"": [{""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""09:00"", ""closes"": ""17:00""}, {""@type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""00:00""}], ""url"": ""https://jamestowntribe.org/""}",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,jamestowntribe.org__9ed9b3abc79f2c97.html,c1564cd012870dc9526d95de60f4ce3c,single_facility_tribe,medium,code/980_gaming_web_harvest.py,2026-09-02,CE-0015G-X9,entity,the assertion is published on a host operated by one Native entity,published on the website of a gaming property in Cedar's facility universe,code/1094_merge_web_harvest_into_gaming_claims.py,SINGLE_FACILITY_TRIBE,,1,GWH-8157906f34d798af;GWH-bd7565a5ac2b91d0,"nothing - this row carries no additive measure. It is an identity, location, contact or hours statement."
