edge_kind,from_node,to_node,from_type,to_type,edge_tier,edge_tier_source,asserting_source,asserting_row_ref,n_asserting_sources,method,evidence,built_by,built_date
IDENTITY,CAGE:3E1C9,UEI:C139RQBUN1Y4,CAGE,UEI,B,SOURCE_TIER declaration: FPDS reported this CAGE and this UEI on the same transaction. That is a filer's co-declaration of two identifiers for on,cedar_cage_backfill.csv|fpds_uei_cage_map.csv|prime_contracts.csv,,3,fpds_co_observation,FPDS co-observation on 10 transactions 2017-2018,169_build_identifier_graph.py,2026-08-26
IDENTITY,CAGE:4B846,UEI:C16BGHA4MLJ6,CAGE,UEI,B,SOURCE_TIER declaration: FPDS reported this CAGE and this UEI on the same transaction. That is a filer's co-declaration of two identifiers for on,fpds_uei_cage_map.csv|subaward_identifier_harvest.csv,,2,fpds_co_observation,FPDS co-observation on 13 transactions 2014-2021,169_build_identifier_graph.py,2026-08-26
IDENTITY,CAGE:69DN7,UEI:C17QJNVQ1H56,CAGE,UEI,B,SOURCE_TIER declaration: FPDS reported this CAGE and this UEI on the same transaction. That is a filer's co-declaration of two identifiers for on,fpds_uei_cage_map.csv|need_v6_geocoded.csv|prime_contracts.csv,,3,fpds_co_observation,FPDS co-observation on 619 transactions 2017-2023,169_build_identifier_graph.py,2026-08-26
IDENTITY,CAGE:7T2G3,UEI:C1AFAKFBCJJ4,CAGE,UEI,B,SOURCE_TIER declaration: FPDS reported this CAGE and this UEI on the same transaction. That is a filer's co-declaration of two identifiers for on,fpds_uei_cage_map.csv|need_v6_geocoded.csv|prime_contracts.csv,,3,fpds_co_observation,FPDS co-observation on 349 transactions 2019-2023,169_build_identifier_graph.py,2026-08-26
IDENTITY,CAGE:7UPE1,UEI:C1CGMDVZSNJ6,CAGE,UEI,B,SOURCE_TIER declaration: FPDS reported this CAGE and this UEI on the same transaction. That is a filer's co-declaration of two identifiers for on,fpds_uei_cage_map.csv|need_v6_geocoded.csv|prime_contracts.csv,,3,fpds_co_observation,FPDS co-observation on 193 transactions 2021-2023,169_build_identifier_graph.py,2026-08-26
IDENTITY,CAGE:7B2A0,UEI:C1FRWAL9CAF3,CAGE,UEI,B,SOURCE_TIER declaration: FPDS reported this CAGE and this UEI on the same transaction. That is a filer's co-declaration of two identifiers for on,fpds_uei_cage_map.csv|need_v6_geocoded.csv|prime_contracts.csv,,3,fpds_co_observation,FPDS co-observation on 14 transactions 2022-2023,169_build_identifier_graph.py,2026-08-26
IDENTITY,CAGE:77SZ1,UEI:C1NXJYNLLWM5,CAGE,UEI,B,SOURCE_TIER declaration: FPDS reported this CAGE and this UEI on the same transaction. That is a filer's co-declaration of two identifiers for on,cedar_cage_backfill.csv|fpds_uei_cage_map.csv|prime_contracts.csv,,3,fpds_co_observation,FPDS co-observation on 6 transactions 2017-2018,169_build_identifier_graph.py,2026-08-26
IDENTITY,CAGE:3MZP3,UEI:C1WAFK7DNUM3,CAGE,UEI,B,SOURCE_TIER declaration: FPDS reported this CAGE and this UEI on the same transaction. That is a filer's co-declaration of two identifiers for on,cedar_cage_backfill.csv|fpds_uei_cage_map.csv|prime_contracts.csv,,3,fpds_co_observation,FPDS co-observation on 1 transactions 2022-2022,169_build_identifier_graph.py,2026-08-26
IDENTITY,CAGE:7ENV7,UEI:C2LQDYFJLNR5,CAGE,UEI,B,SOURCE_TIER declaration: FPDS reported this CAGE and this UEI on the same transaction. That is a filer's co-declaration of two identifiers for on,cedar_cage_backfill.csv|fpds_uei_cage_map.csv|prime_contracts.csv,,3,fpds_co_observation,FPDS co-observation on 254 transactions 2017-2023,169_build_identifier_graph.py,2026-08-26
IDENTITY,CAGE:6X2Y1,UEI:C3BKD1R9DKQ3,CAGE,UEI,B,SOURCE_TIER declaration: FPDS reported this CAGE and this UEI on the same transaction. That is a filer's co-declaration of two identifiers for on,cedar_cage_backfill.csv|fpds_uei_cage_map.csv|prime_contracts.csv,,3,fpds_co_observation,FPDS co-observation on 36 transactions 2022-2023,169_build_identifier_graph.py,2026-08-26
