Deal_ID,Event_Date,Event_Year,Event_Quarter,Event_Month,Deal_Title,Native_Party,Native_Party_Type,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Record_Scope,Announced_Value_USD,Value_Type,Project_Total_Value_USD,State,Location,Description,Native_Connection,Source_1,Source_1_Type,Source_2,Source_2_Type,Verification_Status,Confidence,Threshold_Exception,Date_Basis,Notes,Date_Added,Data_As_Of
ND-2000-201,2000-09-01,2000,Q3,2000-09,"Arctic Slope Regional Corporation subsidiary acquires 100% of Tri Ocean Engineering, Ltd.",Arctic Slope Regional Corporation,Alaska Native corporation,"Tri Ocean Engineering, Ltd. (selling shareholders not named in the report)",Acquisition,Engineering / petroleum services,Acquisition of 100% of stock,Closed,2000 commitment,9600000,"Purchase price for 100% of stock, plus additional future consideration based on earnings above a threshold",,,"Calgary, Alberta, Canada","A newly created subsidiary of ASRC acquired 100 percent of the stock of Tri Ocean Engineering, Ltd. for $9.6 million plus additional consideration in the future based on future earnings in excess of a threshold amount. Tri Ocean is a consulting and engineering firm providing engineering, procurement and project management services to the production and drilling sectors of the worldwide petroleum industry, with offices in Canada and Russia.","Arctic Slope Regional Corporation is one of the thirteen regional corporations established under the Alaska Native Claims Settlement Act of 1971, owned by Inupiat shareholders of Alaska's North Slope.",https://web.archive.org/web/20040706id_/http://www.asrc.com/_pdf/_annualreports/ASRC2001.pdf,ANC annual report (audited consolidated financial statements),,,Primary verified,High,No,"Effective date stated in the acquisitions footnote (""Effective September 1, 2000"")","ANC annual-report sweep 2026-08-05. Report PDF located via the Internet Archive Wayback CDX API and retrieved with curl + a declared User-Agent, then converted to text locally with pdftotext -layout and re-read as document text. The ASRC financial statements state at the head of the notes that ALL DOLLAR AMOUNTS ARE STATED IN THOUSANDS; the figure written here is the reported figure multiplied by 1,000. One of three acquisitions ASRC completed in 2000. INTERNAL ARITHMETIC CHECK: the footnote states an aggregate cost of approximately $14,800 (thousands) for the three 2000 acquisitions; the three stated prices ($9,600 + $3,200 + $2,000) sum to exactly $14,800, confirming the reading. Sister rows: ND-2000-202 and ND-2000-203 - never sum the three rows AND the aggregate. The earnout is not quantified in the report and is in no value field.",2026-08-05,2026-08-05
ND-2000-203,2000-01-01,2000,Q1,2000-01,"ASCG Incorporated (ASRC) acquires the assets of McLaughlin Water Engineers, Ltd.",Arctic Slope Regional Corporation,Alaska Native corporation,"McLaughlin Water Engineers, Ltd.",Acquisition,Engineering / design services,Asset acquisition,Closed,2000 commitment,2000000,Purchase price for the assets acquired,,CO,"Denver, Colorado","ASCG Incorporated, a subsidiary of ASRC, acquired the assets of McLaughlin Water Engineers, Ltd., an engineering and design firm located in Denver, Colorado, for $2.0 million.","Arctic Slope Regional Corporation is one of the thirteen regional corporations established under the Alaska Native Claims Settlement Act of 1971, owned by Inupiat shareholders of Alaska's North Slope.",https://web.archive.org/web/20040706id_/http://www.asrc.com/_pdf/_annualreports/ASRC2001.pdf,ANC annual report (audited consolidated financial statements),,,Primary verified,High,No,"Effective date stated in the acquisitions footnote (""Effective January 1, 2000"")","ANC annual-report sweep 2026-08-05. Report PDF located via the Internet Archive Wayback CDX API and retrieved with curl + a declared User-Agent, then converted to text locally with pdftotext -layout and re-read as document text. The ASRC financial statements state at the head of the notes that ALL DOLLAR AMOUNTS ARE STATED IN THOUSANDS; the figure written here is the reported figure multiplied by 1,000. One of three ASRC acquisitions in 2000; see ND-2000-201 for the arithmetic cross-check. ASCG Incorporated was itself sold by ASRC to NANA Development Corporation in June 2005 (ND-2005-201); this row and ND-2005-201 are the two ends of ASRC's ownership of that subsidiary.",2026-08-05,2026-08-05
ND-2001-202,2001-01-11,2001,Q1,2001-01,"SpecPro, Inc. (Bristol Bay Native Corporation) acquires Vista Technologies, Inc.",Bristol Bay Native Corporation,Alaska Native corporation,"Vista Technologies, Inc.",Acquisition,Engineering / environmental / information technology services,Acquisition of all outstanding common stock,Closed,2001 commitment,1400000,"Purchase price for all outstanding common stock, plus future payments based on earnings from Vista's business operations",,AL,"Huntsville, Alabama","SpecPro, Inc., a BBNC subsidiary, acquired all of the outstanding common stock of Vista Technologies, Inc. for $1,400,000 plus future payments based upon earnings from Vista's business operations. Upon purchase, Vista was merged into SpecPro. Vista provides engineering, environmental, information technology and logistical services to the U.S. government.",Bristol Bay Native Corporation is the ANCSA regional corporation for the Bristol Bay region of Alaska.,https://web.archive.org/web/20030521id_/http://www.bbnc.net/annualreports/2001.pdf,ANC annual report (audited consolidated financial statements),https://web.archive.org/web/20030521id_/http://www.bbnc.net/annualreports/2002.pdf,ANC annual report (audited consolidated financial statements),Primary verified,High,No,"Agreement date stated in the acquisitions footnote, with the accounting effective date also given: ""On January 11, 2001 (effective January 1, 2001)"". Event_Date uses the January 11 transaction date.","ANC annual-report sweep 2026-08-05. Report PDF located via the Internet Archive Wayback CDX API and retrieved with curl + a declared User-Agent, then converted to text locally with pdftotext -layout and re-read as document text. Amount and date appear identically in the FY2001 and FY2002 BBNC annual reports. The earnout is not quantified in either report and is in no value field. BBNC's fiscal year ends March 31, but this transaction carries an explicit calendar date so no fiscal-year ambiguity arises.",2026-08-05,2026-08-05
ND-2003-201,2003-01-03,2003,Q1,2003-01,"NANA Regional Corporation sells the assets of Arctic Utilities, Inc. to TDX North Slope Generating, Inc.","NANA Regional Corporation, Inc.",Alaska Native corporation,"TDX North Slope Generating, Inc.",Divestiture,Electric utility,Asset sale (divestiture),Closed,2003 commitment,,Undisclosed,,AK,"Deadhorse, Alaska","NANA sold the assets of Arctic Utilities, Inc. (AUI), its only regulated utility holding, which provided electric power to the community of Deadhorse. The FY2002 report records that the Public Utilities Commission approved the sale of AUI to TDX North Slope Generating, Inc. AUI's operations were reported as discontinued operations. AUI recorded gross revenues of $1,276,164, $3,527,091 and $4,230,181 in the years ended September 2003, 2002 and 2001.","NANA Regional Corporation, Inc. is one of the thirteen ANCSA regional corporations, owned by Inupiat shareholders of Northwest Alaska. COUNTERPARTY NOTE: TDX North Slope Generating, Inc. carries the TDX name associated with the Tanadgusix Corporation family, but the reports do not describe its ownership and no Native status is asserted for the buyer here.",https://web.archive.org/web/20040804id_/http://www.nana.com/pdfs/2003_Annual_Report.pdf,ANC annual report (audited consolidated financial statements),https://web.archive.org/web/20051024id_/http://www.nana.com/pdfs/2002_Annual_Report.pdf,ANC annual report (audited consolidated financial statements),Primary verified,High,No,"Transaction date stated in the discontinued-operations footnote (""On January 3, 2003, the Company sold the assets of Arctic Utilities, Inc."")","ANC annual-report sweep 2026-08-05. Report PDF located via the Internet Archive Wayback CDX API and retrieved with curl + a declared User-Agent, then converted to text locally with pdftotext -layout and re-read as document text. VALUE HANDLING: no sale price is stated in any of the three NANA reports carrying this transaction. The only figure given is a recognised GAIN on sale of $114,129, which is not consideration and is in no value field. The assets held for sale had a cost basis of $12,286,500 with accumulated depreciation of $11,309,153 at September 29, 2002 - book figures, also in no value field. Restated identically in the FY2003, FY2004 and FY2005 reports; recorded once.",2026-08-05,2026-08-05
ND-2003-203,,2003,,,ASRC Pipeline Corporation acquires an initial 16.7% equity interest in the Alpine Transportation Company,Arctic Slope Regional Corporation,Alaska Native corporation,Alpine Transportation Company (sellers not named in the report),Equity investment,Oil and gas pipeline transportation,Minority equity interest acquired,Closed,2003 commitment,15900000,Initial cost of the 16.7% equity interest,,AK,"North Slope, Alaska","ASRC Pipeline Corporation acquired an initial 16.7 percent equity interest in the Alpine Transportation Company for an initial cost of $15.9 million, subject to an option held by a third party that would reduce ASRC's net retained interest to 15 percent. During 2004 the third-party interest holder exercised its option. The Alpine Pipeline is 32 miles long.","Arctic Slope Regional Corporation is one of the thirteen regional corporations established under the Alaska Native Claims Settlement Act of 1971, owned by Inupiat shareholders of Alaska's North Slope.",https://web.archive.org/web/20070114id_/http://www.asrc.com/_pdf/_annualreports/ASRC2005.pdf,ANC annual report (audited consolidated financial statements),https://web.archive.org/web/20060323id_/http://www.asrc.com/_pdf/_annualreports/ASRC2004.pdf,ANC annual report (narrative section),Primary verified,Medium,No,"YEAR-LEVEL ONLY. The report states 'During 2003, the Corporation acquired a 16.7 percent equity interest'; no month or day appears anywhere in the reports retrieved. Event_Date is deliberately left BLANK - no day and no month were invented. ASRC's fiscal year is the calendar year (statements are dated December 31), so the calendar year itself is unambiguous.","ANC annual-report sweep 2026-08-05. Report PDF located via the Internet Archive Wayback CDX API and retrieved with curl + a declared User-Agent, then converted to text locally with pdftotext -layout and re-read as document text. The ASRC financial statements state at the head of the notes that ALL DOLLAR AMOUNTS ARE STATED IN THOUSANDS; the figure written here is the reported figure multiplied by 1,000. Confidence Medium because the date resolves only to the year. The subsequent 2004 reduction to a 15 percent retained interest, on the third party's exercise of its option, is a separate ownership change with neither a date nor a consideration stated; it is logged as a skipped lead rather than given a row.",2026-08-05,2026-08-05
ND-2004-201,2004-01-12,2004,Q1,2004-01,"Arctic Slope Regional Corporation acquires 100% of Lynx Enterprises, Inc.",Arctic Slope Regional Corporation,Alaska Native corporation,"Lynx Enterprises, Inc. (selling shareholders not named in the report)",Acquisition,Permitting / environmental and management consulting,Acquisition of 100% of outstanding common shares,Closed,2004 commitment,1400000,"Purchase price for 100% of the outstanding common shares, plus additional future consideration based on earnings above a threshold",,,,"ASRC acquired 100 percent of the outstanding common shares of Lynx Enterprises, Inc. for $1.4 million plus additional consideration in the future based on future earnings in excess of a threshold amount. Cash of $0.9 million was paid in 2004, with the remaining balance plus interest at prime plus one percent payable in April 2005. Lynx provides permitting, environmental and other consulting and management services.","Arctic Slope Regional Corporation is one of the thirteen regional corporations established under the Alaska Native Claims Settlement Act of 1971, owned by Inupiat shareholders of Alaska's North Slope.",https://web.archive.org/web/20060323id_/http://www.asrc.com/_pdf/_annualreports/ASRC2004.pdf,ANC annual report (audited consolidated financial statements),https://web.archive.org/web/20070114id_/http://www.asrc.com/_pdf/_annualreports/ASRC2005.pdf,ANC annual report (audited consolidated financial statements),Primary verified,High,No,"Transaction date stated in the acquisitions footnote (""On January 12, 2004"")","ANC annual-report sweep 2026-08-05. Report PDF located via the Internet Archive Wayback CDX API and retrieved with curl + a declared User-Agent, then converted to text locally with pdftotext -layout and re-read as document text. The ASRC financial statements state at the head of the notes that ALL DOLLAR AMOUNTS ARE STATED IN THOUSANDS; the figure written here is the reported figure multiplied by 1,000. VALUE HANDLING: the acquisition produced $1,868 thousand of goodwill, which EXCEEDS the $1,400 thousand purchase price because net LIABILITIES of $968 thousand were assumed - the purchase-price-allocation table shows total assets acquired of $351 thousand against total liabilities assumed of $1,319 thousand. Goodwill is not consideration and is in no value field. This is a case where the largest number in the footnote is emphatically not the deal value. Restated identically in the 2005 report.",2026-08-05,2026-08-05
ND-2004-203,2004-03-17,2004,Q1,2004-03,"The Aleut Corporation acquires approximately 46,000 acres and personal property on Adak Island from the U.S. Navy and the Department of the Interior",The Aleut Corporation,Alaska Native corporation,United States Navy and U.S. Department of the Interior; State of Alaska (simultaneous transferee of the Adak airport),Land transaction,Land and real property,Land and personal property conveyance under ANCSA land entitlements,Closed,2004 commitment,,No monetary consideration stated; conveyance made utilizing ANCSA land entitlements,,AK,"Adak Island, Alaska","The Aleut Corporation acquired approximately 46,000 acres of real property plus certain personal property on Adak Island from the United States Navy and the U.S. Department of the Interior, utilizing ANCSA land entitlements. Simultaneously the Corporation transferred ownership of certain real property encompassing the airport at Adak plus related personal property to the State of Alaska, and simultaneously transferred certain other real and personal property.",The Aleut Corporation is the ANCSA regional corporation for the Aleut region of Alaska.,https://web.archive.org/web/20070925id_/http://www.aleutcorp.com/forms/pdf/annualreport2004.pdf,ANC annual report (audited consolidated financial statements),,,Primary verified,High,No,"Transaction date stated in the ANCSA natural resources and lands section (""On March 17, 2004 The Aleut Corporation acquired"")","ANC annual-report sweep 2026-08-05. Report PDF located via the Internet Archive Wayback CDX API and retrieved with curl + a declared User-Agent, then converted to text locally with pdftotext -layout and re-read as document text. VALUE HANDLING: no monetary consideration is stated. This is a conveyance against ANCSA land entitlements rather than a purchase, so Announced_Value_USD is deliberately BLANK and no acreage-based value was estimated. Included because it is a precisely dated, first-order land transaction with the ANC as principal - the largest land transfer in this file. The simultaneous transfer of the Adak airport to the State of Alaska is part of the same transaction and is recorded here rather than as a separate divestiture row.",2026-08-05,2026-08-05
ND-2004-205,2004-01-15,2004,Q1,2004-01,"Kanaak Corporation (Sealaska) acquires a 51% interest in Nypro Iowa, Inc.",Sealaska Corporation,Alaska Native corporation,"Nypro, Inc.",Acquisition,Plastics injection molding,Majority-interest acquisition (51%),Closed,2004 commitment,800000,Purchase price for a 51% interest,,IA,"Mt. Pleasant, Iowa","Sealaska's manufacturing subsidiary Kanaak Corporation added to its plastics operations by acquiring a 51 percent interest in Nypro Iowa, Inc. - the Mt. Pleasant, Iowa plastic manufacturing plant - from Nypro, Inc. for $800,000, utilizing partial repayment to Sealaska of the intercompany debt at Guadalajara.","Sealaska Corporation is the ANCSA regional corporation for Southeast Alaska, owned by Tlingit, Haida and Tsimshian shareholders.",https://web.archive.org/web/20060520id_/http://www.sealaska.com/2005AR/Sea06_A.R.pdf,ANC annual report (audited consolidated financial statements),,,Primary verified,Medium,Yes,"MONTH-LEVEL ONLY. The report states 'In January 2004' and 'During January 2004'; no day is given. Event_Date 2004-01-15 is a MID-MONTH PLACEHOLDER, not a stated date.","ANC annual-report sweep 2026-08-05. Report PDF located via the Internet Archive Wayback CDX API and retrieved with curl + a declared User-Agent, then converted to text locally with pdftotext -layout and re-read as document text. THRESHOLD EXCEPTION: consideration of $800,000 is below the $1,000,000 default threshold. Included because it is a majority-interest (51%) acquisition of a named operating manufacturing plant and creates a durable ownership-change record, and because the price is stated identically in the report's highlights and in the related-party note. VALUE HANDLING: the plant's $7.9 million of 2005 revenue and $505,000 of net income are operating results, not deal value, and are in no value field. Sealaska exited these Nypro Kanaak holdings in June 2013 - see ND-2013-201, which closes the arc this row opens. TRANSLITERATION NOTE: the Sealaska manufacturing subsidiary's name is set in the annual reports with a non-ASCII character between the K and the 'naak' (byte 0xE1 in the embedded font). It is rendered here in plain ASCII as 'Kanaak', consistent with the form 'Nypro Kanaak' used for the joint-venture entities. The spelling is a transliteration of the source, not a differently named entity.",2026-08-05,2026-08-05
ND-2005-202,2005-01-15,2005,Q1,2005-01,"Arctic Slope Regional Corporation acquires the remaining 10% of OMEGA Natchiq, Inc.",Arctic Slope Regional Corporation,Alaska Native corporation,"Minority interest holders in OMEGA Natchiq, Inc. (not named in the report)",Acquisition,Oilfield services,Buyout of remaining minority interest (entity becomes wholly owned),Closed,2005 commitment,1000000,Purchase price for the remaining 10% minority interest,,AK,Alaska,"ASRC purchased the remaining 10 percent interest in the minority operations of OMEGA Natchiq, Inc. for $1.0 million, which resulted in an additional $330 thousand of goodwill recorded. Upon acquisition of these minority shares, OMEGA Natchiq, Inc. became a wholly owned subsidiary of ASRC.","Arctic Slope Regional Corporation is one of the thirteen regional corporations established under the Alaska Native Claims Settlement Act of 1971, owned by Inupiat shareholders of Alaska's North Slope.",https://web.archive.org/web/20070114id_/http://www.asrc.com/_pdf/_annualreports/ASRC2005.pdf,ANC annual report (audited consolidated financial statements),,,Primary verified,Medium,No,"MONTH-LEVEL ONLY. The report states 'In January 2005'; no day is given. Event_Date 2005-01-15 is a MID-MONTH PLACEHOLDER, not a stated date.","ANC annual-report sweep 2026-08-05. Report PDF located via the Internet Archive Wayback CDX API and retrieved with curl + a declared User-Agent, then converted to text locally with pdftotext -layout and re-read as document text. The ASRC financial statements state at the head of the notes that ALL DOLLAR AMOUNTS ARE STATED IN THOUSANDS; the figure written here is the reported figure multiplied by 1,000. Consideration of $1,000 thousand meets the $1,000,000 threshold exactly, so no threshold exception is required. The $330 thousand of goodwill is not consideration and is in no value field.",2026-08-05,2026-08-05
ND-2005-204,,2005,,,"Arctic Slope Regional Corporation sells the stock of Triquest-Puget Plastics, L.L.C.",Arctic Slope Regional Corporation,Alaska Native corporation,Buyer not named in the report,Divestiture,Plastics manufacturing,Sale of stock (divestiture),Closed,2005 commitment,2064000,"Sale price for the stock of Triquest-Puget Plastics, L.L.C.",,,,"ASRC sold the stock of Triquest-Puget Plastics, L.L.C. for $2.064 million, which resulted in a minor gain to the Corporation. ASRC had decided in 2001 to discontinue Triquest-Puget's manufacturing operations.","Arctic Slope Regional Corporation is one of the thirteen regional corporations established under the Alaska Native Claims Settlement Act of 1971, owned by Inupiat shareholders of Alaska's North Slope.",https://web.archive.org/web/20070114id_/http://www.asrc.com/_pdf/_annualreports/ASRC2005.pdf,ANC annual report (audited consolidated financial statements),,,Primary verified,Medium,No,"YEAR-LEVEL ONLY. The report states 'During 2005, the Corporation sold the stock of Triquest-Puget Plastics, L.L.C.'; no month or day is given. Event_Date is deliberately left BLANK - no day and no month were invented. ASRC's fiscal year is the calendar year, so the calendar year itself is unambiguous.","ANC annual-report sweep 2026-08-05. Report PDF located via the Internet Archive Wayback CDX API and retrieved with curl + a declared User-Agent, then converted to text locally with pdftotext -layout and re-read as document text. The ASRC financial statements state at the head of the notes that ALL DOLLAR AMOUNTS ARE STATED IN THOUSANDS; the figure written here is the reported figure multiplied by 1,000. Confidence Medium because the date resolves only to the year. Closes the position opened by ND-2000-202 (Puget Plastics' July 2000 purchase of the Oreck molding division). The 2005 shareholder report separately notes that Puget settled its litigation prior to the sale.",2026-08-05,2026-08-05
