nrc_meeting_id,meeting_number,meeting_date,meeting_year,time_start,time_end,time_zone,meeting_cancelled,datetime_verbatim,purpose_verbatim,purpose_source,participation_category,location_verbatim,related_documents_verbatim,nrc_contact_verbatim,nrc_participants_verbatim,external_participants_verbatim,external_participant_field_present,docket_verbatim,facility_verbatim,adams_accession_numbers,adams_lookup_url,channel,event_class,is_lobbying,classification_status,classification_basis_quote,channel_note,sweep_terms_matched,detail_page_fetched,source_url,source_record_id,fetched_date,confidence_tier
NRC-PMNS-20132372,20132372,2013-12-04,2013,9AM,4:30PM,EST,N,"12/04/13, 9AM - 4:30PM EST",Meeting to Discuss Data Collected to Address Draft License Conditions | for the Crow Butte License Renewal.,DETAIL_PURPOSE_FIELD,Category 1,"NRC Two White Flint North | 11545 Rockville Pike, T8C1 | Rockville, MD","ML13323A666 | - 12/4/13, Notice of Meeting with Crow Butte to Discuss Data Collected to Address Draft License Conditions for License Renewal. | Comments | Interested members of the public can | participate in this meeting via a toll-free teleconference. For details, | please call the NRC meeting contact by December 2, 2013.",Ronald A. Burrows (301) 415-6442,Office of Federal and State Materials and Environmental Management Programs,Public | Licensees | Cameco Resources,Y,04008943,"CROW BUTTE RESOURCES, INC.",ML13323A666,https://adams.nrc.gov/wba/services/search/advanced/nrc?q=ML13323A666,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Crow Butte,Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20132372,NRC PMNS meeting 20132372,2026-08-12,A
NRC-PMNS-20140325,20140325,2014-02-24,2014,10AM,12PM,EST,N,"02/24/14, 10AM - 12PM EST","To discuss Uranerz Energy Corporation, Nichols Ranch Project Licensing issues",DETAIL_PURPOSE_FIELD,Category 1,"NRC Two White Flint North | 11545 Rockville Pike, 8C5 | Rockville, MD","ML14045A144 | - 20140325 Public Meeting Agenda by FSME | Comments | Interested members of the public can participate in this meeting via a toll-free teleconference. For details, please call the NRC meeting contact by February 20, 2014.",Ron Linton (301) 415-7777,Office of Federal and State Materials and Environmental Management Programs,Uranerz Energy Corporation,Y,04009067,URANERZ ENERGY CORPORATION,ML14045A144,https://adams.nrc.gov/wba/services/search/advanced/nrc?q=ML14045A144,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Nichols Ranch,Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20140325,NRC PMNS meeting 20140325,2026-08-12,A
NRC-PMNS-20140823,20140823,2014-05-16,2014,12:30PM,2:30PM,EDT,N,"05/16/14, 12:30PM - 2:30PM EDT","To discuss the flooding hazard reevaluation extension requests submitted by Northern States Power Company - Minnesota, doing business as Xcel Energy, Inc., associated with the Monticello Nuclear Generating Plant and Prairie Island Nuclear Generating Plant (Agencywide Documents Access and Management System Accession Nos. ML14071A448 and ML14069A544, respectively).",DETAIL_PURPOSE_FIELD,Category 1,Teleconference,"ML14121A446 | - 05/16/2014 FORTHCOMING MEETING WITH XCEL ENERGY, INC., TO DISCUSS FLOODING HAZARD REEVALUATION EXTENSION REQUESTS FOR THE MONTICELLO NUCLEAR GENERATING PLANT AND PRAIRIE ISLAND NUCLEAR GENERATING PLANT, UNITS 1 AND 2 (TAC NOS. MF3651, MF3629 AND MF3630) | Comments | Meeting time is based on Eastern Time Zone. | Interested members of the public can participate in this meeting via a toll-free audio teleconference. Please call the meeting contacts listed above before May 14, 2014, 3:00 pm EDT to get the telephone number and passcode.",Terry A. Beltz (301) 415-3049 Scott P. Wall (301) 415-2855,Office of Nuclear Reactor Regulation | Office of New Reactors,"Xcel Energy | Black & Veatch | C. Cook | R. Kuntz | E. Miller | K. Erwin | R. Rohrer, et al. | S. Thomas, et al. | T. Beltz",Y,05000263 | 05000282 | 05000306,Monticello | Prairie Island 1 | Prairie Island 2,ML14069A544|ML14071A448|ML14121A446,https://adams.nrc.gov/wba/services/search/advanced/nrc?q=ML14069A544,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Prairie Island,Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20140823,NRC PMNS meeting 20140823,2026-08-12,A
NRC-PMNS-20141234,20141234,2014-08-18,2014,5PM,8PM,EDT,N,"08/18/14, 5PM - 8PM EDT",Dewey-Burdock In Situ Uranium Recovery Facility - Notice of Opportunity To Make Oral And Written Limited Appearance Statements,DETAIL_PURPOSE_FIELD,Open Full Details 4.7679596,"The Mueller Civic Center | 801 S. 6th Street | Hot Springs, SD",ML14184B095 | - Notice (Of Opportunity To Make Oral And Written Limited Appearance Statements). | Comments | *Participation open to the public to provide oral and written limited appearance statements.,Nicholas Sciretta (301) 415-4128,Atomic Safety and Licensing Board Panel,Parties to the Proceeding,Y,04009075,POWERTECH (USA) INC.,ML14184B095,https://adams.nrc.gov/wba/services/search/advanced/nrc?q=ML14184B095,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Dewey-Burdock|in situ recovery|uranium,Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20141234,NRC PMNS meeting 20141234,2026-08-12,A
NRC-PMNS-20141943,20141943,2014-12-09,2014,9AM,11AM,EST,N,"12/09/14, 9AM - 11AM EST",Discuss proposed License Amendment for Nichols Ranch ISR Project to include the Jane Dough Unit,DETAIL_PURPOSE_FIELD,Category 1,"NRC Three White Flint North | 11601 Landsdown Street, 1D07 | Rockville, MD","ML14317A343 | - 12/09/2014 Meeting between Uranerz Energy Corporation and U.S. Nuclear Regulatory Commission on Nichols Ranch License Amendment for Jane Dough Unit | Comments | Please call the Project Manager, David Brown, at 301-287-9110 to obtain the meeting bridge line number",David Brown (301) 287-9110,Office of Nuclear Material Safety and Safeguards,Uranerz Energy Corporation,Y,04009067,URANERZ ENERGY CORPORATION,ML14317A343,https://adams.nrc.gov/wba/services/search/advanced/nrc?q=ML14317A343,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Nichols Ranch,Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20141943,NRC PMNS meeting 20141943,2026-08-12,A
NRC-PMNS-20150118,20150118,2015-02-19,2015,10AM,4PM,EST,N,"02/19/15, 10AM - 4PM EST",The U.S. Army (Army) requested to meet with the U.S. Nuclear Regulatory Commission (NRC) staff for a pre-license amendment application submission meeting to discuss various topics related to the Army’s approach to add the remaining 15 sites containing depleted uranium from the Davy Crockett munitions to Materials License No. SUC-1593 in accordance with License Condition No. 12. The staff understands that the Army intends to use the Programmatic Approach to licensing for this amendment and is prepared to answer questions related to this topic at this meeting. The staff understands that the Army intends to provide drafts of specific portions of its license amendment application for discussion. All handouts and specific portions of the Army’s draft license amendment application that the Army plans to discuss at this meeting will be added to the public meeting announcement in advance of this meeting.,DETAIL_PURPOSE_FIELD,Category 1,"NRC Two White Flint North | 11545 Rockville Pike, 8A01 | Rockville, MD",ML15043A783 | - Environmental Radiation Monitoring Plan | ML15041A793 | - Draft Physical Security Plan. | ML15042A134 | - Draft Radiation Safety Plan. | ML15035A337 | - 02/19/2015 Pre-License amendment application submission meeting to discuss the U.S. Armys approach to add the remaining 15 sites containing depleted uranium from Davy Crockett munitions to Materials License no. SUC-1593 per License Condition 12 | ML15041A791 | - Draft Map of DU areas. | ML15042A175 | - Draft NRC Form 313. | ML15041A781 | - Draft Environmental Pathways. | ML15041A790 | - Draft Generic Decommissioning Cost Estimate. | ML15041A779 | - Draft Decommissioning Funding Plan. | Teleconference | Bridge Number: 8779175788 | Passcode: 59167,Amy M. Snyder (301) 415-6822,Office of Nuclear Material Safety and Safeguards,US Department of the Army | Dr. Robert Cherry,Y,04009083,"ARMY, DEPARTMENT OF THE",ML15035A337|ML15041A779|ML15041A781|ML15041A790|ML15041A791|ML15041A793|ML15042A134|ML15042A175|ML15043A783,https://adams.nrc.gov/wba/services/search/advanced/nrc?q=ML15035A337,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,uranium,Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20150118,NRC PMNS meeting 20150118,2026-08-12,A
NRC-PMNS-20150674,20150674,2015-05-15,2015,11AM,12PM,EDT,N,"05/15/15, 11AM - 12PM EDT","The US Nuclear Regulatory Commission (NRC) has issued a license to Strata Energy for the Ross In-Situ Uranium Recovery Project, Crook County, Wyoming. Under regulations set out at 36 CFR 800. 14, the NRC, along with various other parties, have entered into a Programmatic Agreement (PA) for the management of cultural resource which might be impacted by the Project. As a part of the PA, Strata Energy submits an Annual Report on implementation of the PA. The report for 2014 has been provided to the parties involved in consultations for the Project. The purpose of this proposed conference call is for the NRC to gather any comments the parties involved in consultations may have on the 2014 Annual Report. NRC will initiate the call by providing consulting parties with a toll-free call-in number and pass code to access the call.",DETAIL_PURPOSE_FIELD,Category 1,"NRC Three White Flint North | 11601 Landsdown Street, 1D09 | Rockville, MD",ML15120A082 | - 05/15/2015 Comment on the Strata Energy Ross Site Annual Report on Implementation of the Programmatic Agreement for the Project for Cultural Resources Management | Teleconference | Bridge Number: 8775212306 | Passcode: 62573,John Saxton (301) 415-0697,Office of Nuclear Material Safety and Safeguards,"State of Wyoming | Strata Energy, Inc. | Advisory Council on Historic Preservation | BLACKFEET TRIBE | Bureau of Land Management | CHEYENNE RIVER LAKOTA TRIBE | CHIPPEWA CREE TRIBE | CONFEDERATED SALISH AND KOOTENAI TRIBE | CROW CREEK SIOUX TRIBE | CROW NATION | EASTERN SHOSHONE TRIBE | FLANDREAU SANTEE LAKOTA TRIBE | FORT BELKNAP COMMUNITY | FORT PECK ASSINIBOINE AND SIOUX TRIBES | HEYENNE AND ARAPAHOE TRIBES OF OKLAHOMA | LOWER BRULE LAKOTA TRIBE | NORTHERN ARAPAHO TRIBE | NORTHERN CHEYENNE TRIBE | OGLALA LAKOTA TRIBE | ROSEBUD SIOUX TRIBE | SANTEE SIOUX NATION | SISSETON-WAHPETON LAKOTA TRIBE | STANDING ROCK LAKOTA TRIBE | THREE AFFILIATED TRIBES | TURTLE MOUNTAIN TRIBE | YANKTON LAKOTA TRIBE",Y,04009091,"STRATA ENERGY, INC.",ML15120A082,https://adams.nrc.gov/wba/services/search/advanced/nrc?q=ML15120A082,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,consultation|in situ recovery|uranium,Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20150674,NRC PMNS meeting 20150674,2026-08-12,A
NRC-PMNS-20151223,20151223,2015-08-26,2015,2PM,3PM,EDT,N,"08/26/15, 2PM - 3PM EDT","Public Conference Call to Describe the Process for Submitting Comments on the Draft Supplement to the Environmental Impact Statement for the Proposed Geologic Repository at Yucca Mountain, Nevada",DETAIL_PURPOSE_FIELD,Category 3,Teleconference,"ML15230A138 | - 08/26/2015 Public Conference Call to Describe the Process for Submitting Comments on the Draft Supplement to the Environmental Impact Statement for the Proposed Geologic Repository at Yucca Mountain, Nevada | ML15223B243 | - NUREG-2184, DFC, ""Supplement to the U.S. Department of Energy's Environmental Impact Statement for a Geologic Repository for the Disposal of Spent Nuclear Fuel and High-Level Radioactive Waste at Yucca Mountain, Nye County, Nevada."" | Teleconference | Bridge Number: 8887902936 | Passcode: 9708500",Christine Pineda (301) 415-6789,Office of Nuclear Material Safety and Safeguards,Christine Pineda | James Rubenstone,Y,06300001,"ENERGY, DEPARTMENT OF",ML15223B243|ML15230A138,https://adams.nrc.gov/wba/services/search/advanced/nrc?q=ML15223B243,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Yucca Mountain,Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20151223,NRC PMNS meeting 20151223,2026-08-12,A
NRC-PMNS-20151304,20151304,2015-10-15,2015,2PM,4PM,EDT,N,"10/15/15, 2PM - 4PM EDT","Public Meeting on the NRC Staff's Draft Supplement to the Environmental Impact Statement for the Proposed Geologic Repository at Yucca Mountain, Nevada",DETAIL_PURPOSE_FIELD,Category 3,Teleconference,"ML15238B507 | - 10/15/2015 Public Meeting on the NRC Staff's Draft Supplement to the Environmental Impact Statement for the Proposed Geologic Repository at Yucca Mountain, Nevada | Teleconference | Bridge Number: 8887902936 | Passcode: 1715992 | Comments | If you are interested in attending or presenting oral comments, we encourage you to pre-register. You may pre-register to attend or present oral comments by calling (301) 415-6789 or by emailing YMEIS_Supplement@nrc.gov no later than 3 days before the teleconference.",Christine Pineda (301) 415-6789,Office of Nuclear Material Safety and Safeguards,Christine Pineda | James Rubenstone,Y,06300001,"ENERGY, DEPARTMENT OF",ML15238B507,https://adams.nrc.gov/wba/services/search/advanced/nrc?q=ML15238B507,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Yucca Mountain,Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20151304,NRC PMNS meeting 20151304,2026-08-12,A
NRC-PMNS-20160365,20160365,2016-03-24,2016,1:30PM,2:30PM,EDT,N,"03/24/16, 1:30PM - 2:30PM EDT","The purpose of this meeting is to discuss information that the licensee is planning to submit to supplement the Prairie Island Nuclear Generating Plant license amendment request submitted September 28, 2012 (ADAMS Accession No. ML12278A405), to adopt NFPA 805.",DETAIL_PURPOSE_FIELD,Category 1,Teleconference,"ML16077A211 | - 03/24/2016 Forthcoming Meeting with Xcel Energy to Discuss Supplemental Information for the National Fire Protection Association (NFPA) 805 License Amendment Request for Prairie Island Nuclear Generating Plant, Units 1 and 2 (CAC Nos. ME9734 and ME9735)",Rob Kuntz (301) 415-3733 Mahesh Chawla (301) 415-8371,Office of Nuclear Reactor Regulation,Xcel Energy | Robert Kuntz | Leslie Fields | Stephen Dinsmore | Todd Hilsmeier | Jay Robinson | Amy Hazelhoff | Angela Wu,Y,05000282 | 05000306,Prairie Island 1 | Prairie Island 2,ML12278A405|ML16077A211,https://adams.nrc.gov/wba/services/search/advanced/nrc?q=ML12278A405,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Prairie Island,Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20160365,NRC PMNS meeting 20160365,2026-08-12,A
