resource_asset_id,asset_type,asset_name,source_system,source_asset_id,niogems_lease_id,niogems_tract_id,niogems_agreement_id,niogems_well_id,resource_type,commodity,state,county,fips_code,latitude,longitude,reservation_name,land_status,land_status_source_url,operator_name,operator_entity_id,status,first_production_date,spud_date,geometry_basis,confidence,source_url,fetched_date,built_date,legal_title_holder,beneficial_interest_class,ownership_basis,area_acres,area_unit,area_basis,as_of_date,asset_count_in_source,evidence_document,evidence_document_type,evidence_quote,quote_verified,revenue_coverage_state,production_coverage_state,coverage_note,cedar_uid,cedar_uid_basis
RAS-ANCSA-00001,land_estate,Ahtna ANCSA land estate,ANCSA_regional_corporation_annual_report,2025__Ahtna_Inc.__2025_Ahtna_Inc._Annual_Report_4-28-2026__caf1c725.pdf,,,,,land_and_minerals,,AK,,,,,,ancsa_fee,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=caf1c725-bc20-4730-b45f-9c21f253d2b0,,,held,,,none_published,A,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=caf1c725-bc20-4730-b45f-9c21f253d2b0,2026-08-05,2026-08-12,"Ahtna, Inc. (fee, by ANCSA patent or interim conveyance)",anc_shareholder,"ANCSA conveyance stated in the corporation's own annual report. This is FEE ownership by a corporation for its shareholders. It is NOT tribal trust land, NOT held by the United States, and NOT owned by a tribal government.","1,598,246",acres,stated in the quoted sentence; never summed or derived,2025-12-31,,2025__Ahtna_Inc.__2025_Ahtna_Inc._Annual_Report_4-28-2026__caf1c725.pdf,ANCSA annual report,"As of December 31, 2025, the Company had received conveyance of approximately 1,598,246 acres.",yes,NOT_FOUND,NOT_FOUND,No per-estate revenue or production figure is published. The corporation reports natural resource revenue at the consolidated level only.,,"single `owner` party for this asset in resource_parties.csv, hub-joined on its entity_id"
RAS-ANCSA-00004,land_conveyance,Adak Island conveyance (Aleut Corporation),ANCSA_regional_corporation_annual_report,2025__Aleut_Corporation__2025_Aleut_Corporation_Annual_Report_8-29-2025__9e292af6.pdf,,,,,land_and_minerals,,AK,,,,,,ancsa_fee,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=9e292af6-ee63-4aff-9a51-713da757b645,,,held,,,none_published,A,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=9e292af6-ee63-4aff-9a51-713da757b645,2026-08-05,2026-08-12,"The Aleut Corporation (fee, by ANCSA patent or interim conveyance)",anc_shareholder,"ANCSA conveyance stated in the corporation's own annual report. This is FEE ownership by a corporation for its shareholders. It is NOT tribal trust land, NOT held by the United States, and NOT owned by a tribal government.","46,000",acres,stated in the quoted sentence; never summed or derived,2004-03-17,,2025__Aleut_Corporation__2025_Aleut_Corporation_Annual_Report_8-29-2025__9e292af6.pdf,ANCSA annual report,"On March 17, 2004, the Corporation received conveyance to approximately 46,000 acres on Adak Island, Alaska, including developed properties and equipment located in the city of Adak, in exchange for certain land selection rights received under the Act.",yes,NOT_FOUND,NOT_FOUND,"No per-estate revenue or production figure is published. The corporation reports natural resource revenue at the consolidated level only. Conveyed in exchange for land selection rights, not as a direct ANCSA selection; the report says so in the quoted sentence.",,"single `owner` party for this asset in resource_parties.csv, hub-joined on its entity_id"
RAS-ANCSA-00007,subsurface_estate,Bering Straits ANCSA subsurface estate beneath village lands,ANCSA_regional_corporation_annual_report,2026__Bering_Straits_Native_Corporation__2026_Bering_Straits_Native_Corporation_Annual_Report_8-3-20__7933ac9c.pdf,,,,,land_and_minerals,,AK,,,,,,ancsa_fee,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=7933ac9c-ac4e-404a-b921-4bec6fcbd73f,,,held,,,none_published,A,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=7933ac9c-ac4e-404a-b921-4bec6fcbd73f,2026-08-05,2026-08-12,"Bering Straits Native Corporation (fee, by ANCSA patent or interim conveyance)",anc_shareholder,"ANCSA conveyance stated in the corporation's own annual report. This is FEE ownership by a corporation for its shareholders. It is NOT tribal trust land, NOT held by the United States, and NOT owned by a tribal government.","2,109,828",acres,stated in the quoted sentence; never summed or derived,2026-03-31,,2026__Bering_Straits_Native_Corporation__2026_Bering_Straits_Native_Corporation_Annual_Report_8-3-20__7933ac9c.pdf,ANCSA annual report,"As of March 31, 2026, the Company had received interim conveyance or patent to 2,109,828 acres of subsurface estate with respect to land conveyed to the regional corporation and village corporations.",yes,NOT_FOUND,NOT_FOUND,"No per-estate revenue or production figure is published. The corporation reports natural resource revenue at the consolidated level only. Subsurface beneath land conveyed to VILLAGE corporations. The surface of those same acres belongs to the village corporations, not to BSNC.",,"single `owner` party for this asset in resource_parties.csv, hub-joined on its entity_id"
RAS-ANCSA-00010,combined_fee_estate,Chugach ANCSA full fee estate,ANCSA_regional_corporation_annual_report,2025__Chugach_Alaska_Corporation__2025_Chugach_Alaska_Corporation_Annual_Report_6-26-2026__b28ba1f5.pdf,,,,,land_and_minerals,,AK,,,,,,ancsa_fee,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=b28ba1f5-ba50-4610-b6fa-3969c56a5768,,,held,,,none_published,A,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=b28ba1f5-ba50-4610-b6fa-3969c56a5768,2026-08-05,2026-08-12,"Chugach Alaska Corporation (fee, by ANCSA patent or interim conveyance)",anc_shareholder,"ANCSA conveyance stated in the corporation's own annual report. This is FEE ownership by a corporation for its shareholders. It is NOT tribal trust land, NOT held by the United States, and NOT owned by a tribal government.","377,421",acres,stated in the quoted sentence; never summed or derived,2025-12-31,,2025__Chugach_Alaska_Corporation__2025_Chugach_Alaska_Corporation_Annual_Report_6-26-2026__b28ba1f5.pdf,ANCSA annual report,"As of December 31, 2025, the Corporation had received conveyance of 377,421 acres of full fee estate and 542,020 acres of subsurface estate.",yes,NOT_FOUND,NOT_FOUND,No per-estate revenue or production figure is published. The corporation reports natural resource revenue at the consolidated level only.,,"single `owner` party for this asset in resource_parties.csv, hub-joined on its entity_id"
RAS-ANCSA-00013,subsurface_estate,Doyon ANCSA subsurface beneath village lands,ANCSA_regional_corporation_annual_report,2025__Doyon_Limited__2025_Doyon_Limited_Annual_Report_1-21-2026__ab12daf8.pdf,,,,,land_and_minerals,,AK,,,,,,ancsa_fee,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=ab12daf8-0269-4584-b9f9-5c1f13e31dd6,,,held,,,none_published,A,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=ab12daf8-0269-4584-b9f9-5c1f13e31dd6,2026-08-05,2026-08-12,"Doyon, Limited (fee, by ANCSA patent or interim conveyance)",anc_shareholder,"ANCSA conveyance stated in the corporation's own annual report. This is FEE ownership by a corporation for its shareholders. It is NOT tribal trust land, NOT held by the United States, and NOT owned by a tribal government.",3.6 million,acres,stated in the quoted sentence; never summed or derived,2025-09-30,,2025__Doyon_Limited__2025_Doyon_Limited_Annual_Report_1-21-2026__ab12daf8.pdf,ANCSA annual report,"All lands have been selected, and at September 30, 2025, approximately 8.2 million acres of fee land and 3.6 million acres of the subsurface beneath village lands were conveyed to Doyon.",yes,NOT_FOUND,NOT_FOUND,No per-estate revenue or production figure is published. The corporation reports natural resource revenue at the consolidated level only.,,"single `owner` party for this asset in resource_parties.csv, hub-joined on its entity_id"
RAS-ANCSA-00016,surface_estate,NANA ANCSA surface estate,ANCSA_regional_corporation_annual_report,2025__NANA_Regional_Corporation_Inc.__2025_NANA_Regional_Corporation_Inc._Annual_Report_2-13-2026_8__f9ab9f8a.pdf,,,,,land_and_minerals,,AK,,,,,,ancsa_fee,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=f9ab9f8a-45b5-4b52-9ef5-8c05e8366d05,,,held,,,none_published,A,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=f9ab9f8a-45b5-4b52-9ef5-8c05e8366d05,2026-08-05,2026-08-12,"NANA Regional Corporation (fee, by ANCSA patent or interim conveyance)",anc_shareholder,"ANCSA conveyance stated in the corporation's own annual report. This is FEE ownership by a corporation for its shareholders. It is NOT tribal trust land, NOT held by the United States, and NOT owned by a tribal government.","1,984,944",acres,stated in the quoted sentence; never summed or derived,2025-09-30,,2025__NANA_Regional_Corporation_Inc.__2025_NANA_Regional_Corporation_Inc._Annual_Report_2-13-2026_8__f9ab9f8a.pdf,ANCSA annual report,"As of September 30, 2025, the Company has received interim conveyance or patent to 1,984,944 acres of surface estate and 2,190,547 acres of subsurface estate.",yes,NOT_FOUND,NOT_FOUND,No per-estate revenue or production figure is published. The corporation reports natural resource revenue at the consolidated level only.,,"single `owner` party for this asset in resource_parties.csv, hub-joined on its entity_id"
RAS-ANCSA-00019,surface_estate,CIRI ANCSA surface estate,ANCSA_regional_corporation_annual_report,2024__Cook_Inlet_Region_Inc.___2024_CIRI_Annual_Report_4-10-25__25857775.pdf,,,,,land_and_minerals,,AK,,,,,,ancsa_fee,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=25857775-e65d-4141-8ac5-f5091cb2dae9,,,held,,,none_published,B,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=25857775-e65d-4141-8ac5-f5091cb2dae9,2026-08-05,2026-08-12,"Cook Inlet Region, Inc. (fee, by ANCSA patent or interim conveyance)",anc_shareholder,"ANCSA conveyance stated in the corporation's own annual report. This is FEE ownership by a corporation for its shareholders. It is NOT tribal trust land, NOT held by the United States, and NOT owned by a tribal government.","529,500",acres,stated in the quoted sentence; never summed or derived,2024-12-31,,2024__Cook_Inlet_Region_Inc.___2024_CIRI_Annual_Report_4-10-25__25857775.pdf,ANCSA annual report,"9,500+ SHAREHOLDERS Serving 529,500 ACRES of surface estate land 1.6M ACRES of subsurface estate [[PAGE 88]] Cook Inlet Region, Inc.",yes,NOT_FOUND,NOT_FOUND,"No per-estate revenue or production figure is published. The corporation reports natural resource revenue at the consolidated level only. Read from a report INFOGRAPHIC, not an audited note. The 2025 report prints the same two figures with the labels interleaved in the text layer ('529,500 Acres 1.6M Acres ... of surface estate land of subsurface estate'), which is why the 2024 rendering is cited instead. Confidence B.",,"single `owner` party for this asset in resource_parties.csv, hub-joined on its entity_id"
RAS-ANCSA-00022,deposit,Aqqaluk deposit (Red Dog Mine),ANCSA_regional_corporation_annual_report,2025__NANA_Regional_Corporation_Inc.__2025_NANA_Regional_Corporation_Inc._Annual_Report_2-13-2026_8__f9ab9f8a.pdf,,,,,hardrock,Zinc and lead,AK,,,,,,ancsa_fee,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=f9ab9f8a-45b5-4b52-9ef5-8c05e8366d05,Teck Alaska Incorporated,,producing,,,none_published,A,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=f9ab9f8a-45b5-4b52-9ef5-8c05e8366d05,2026-08-05,2026-08-12,NANA Regional Corporation (ANCSA fee estate),anc_shareholder,the owning corporation's own annual report. Ownership of the ground is a different fact from operatorship of the project; the operator is recorded as a counterparty and never as an owner.,,,,2025,,2025__NANA_Regional_Corporation_Inc.__2025_NANA_Regional_Corporation_Inc._Annual_Report_2-13-2026_8__f9ab9f8a.pdf,ANCSA annual report,"Some of the natural resource opportunities pursued in fiscal year 2025 include the continued production from the Aqqaluk ore body at Red Dog Mine, continued production from the Qanaiyaq deposit at Red Dog Mine, and additional baseline environmental studies in the Ambler Mining District.",yes,NOT_FOUND,NOT_FOUND,"An ore body WITHIN Red Dog Mine, not a separate mine. Never sum with the Red Dog Mine row.",,"single `owner` party for this asset in resource_parties.csv, hub-joined on its entity_id"
RAS-ANCSA-00025,deposit,Bornite deposit (Upper Kobuk Mineral Projects),ANCSA_regional_corporation_annual_report,2019__NANA_Regional_Corporation_Inc.__2019_NANA_Annual_Report_2-13-20__edfc2a3b.pdf,,,,,hardrock,Copper and cobalt,AK,,,,,,ancsa_fee,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=edfc2a3b-5b91-41ce-a827-3c650299a6dd,,,exploration,,,none_published,A,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=edfc2a3b-5b91-41ce-a827-3c650299a6dd,2026-08-05,2026-08-12,NANA Regional Corporation (ANCSA fee estate),anc_shareholder,the owning corporation's own annual report. Ownership of the ground is a different fact from operatorship of the project; the operator is recorded as a counterparty and never as an owner.,,,,2019,,2019__NANA_Regional_Corporation_Inc.__2019_NANA_Annual_Report_2-13-20__edfc2a3b.pdf,ANCSA annual report,"The UKMP includes Bornite – a high-grade copper and cobalt deposit, and in FY19, the camp at Bornite was busy from June into September with an average of 80 people at camp for a productive and safe field season.",yes,NOT_FOUND,NOT_FOUND,Operator not asserted; see the Arctic deposit row.,,"single `owner` party for this asset in resource_parties.csv, hub-joined on its entity_id"
RAS-ANCSA-00028,oil_field,Alpine Oil Field (ASRC subsurface interest),ANCSA_regional_corporation_annual_report,2025__Arctic_Slope_Regional_Corporation__2025_Arctic_Slope_Regional_Corporation_Annual_Report_5-1-20__caef9504.pdf,,,,,oil_and_gas,Oil,AK,,,,,,ancsa_fee,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=caef9504-14e4-4aad-8285-a18856b0746e,,,producing,,,none_published,A,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=caef9504-14e4-4aad-8285-a18856b0746e,2026-08-05,2026-08-12,Arctic Slope Regional Corporation (ANCSA fee estate),anc_shareholder,the owning corporation's own annual report. Ownership of the ground is a different fact from operatorship of the project; the operator is recorded as a counterparty and never as an owner.,,,,2025,,2025__Arctic_Slope_Regional_Corporation__2025_Arctic_Slope_Regional_Corporation_Annual_Report_5-1-20__caef9504.pdf,ANCSA annual report,"A primary example for ASRC is the tax basis in subsurface mineral rights granted through ANCSA, such as its interest in the Alpine Oil Field.",yes,NOT_FOUND,NOT_FOUND,"ASRC states an INTEREST in the field, not ownership of the field or of its operations. Operator not stated in the cited sentence and not supplied from elsewhere.",,"single `owner` party for this asset in resource_parties.csv, hub-joined on its entity_id"
