tax_observation_id,tribe_id,tribe_name,state,tax_type,period_start,period_end,tax_remitted_usd,statutory_rate,rate_unit,derived_taxable_base,base_unit,rate_source_quote,amount_source_quote,agreement_or_statute_cite,measurement_status,bound_basis,source_url,fetched_date,tier,confidence,built_date,cedar_uid
TTAX-NDT-0017,TRBF-SPRTLK-00,Spirit Lake,ND,MOTOR_FUEL,2007-02-14,2007-02-14,29824.82,0.23,usd_per_gallon,172898,gallons,"Except as otherwise provided in this section, a tax of twenty-three cents per gallon [3.79 liters] is imposed on all motor vehicle fuel sold or used in this state. || Except as otherwise provided in this chapter, an excise tax of twenty-three cents per gallon [3.79 liters] is imposed on the sale or delivery of all special fuel sold or used in this state. || The Spirit Lake Tribe, which became effective September 1, 2006, provides for a revenue allocation of 76 percent, less a 1 percent administration fee, to the tribe. Twenty-four percent, plus the 1 percent administration fee, is deposited in the general fund.","Payment Date 02/14/2007 | Tribe Name Spirit Lake Tribe | Tax Type Tribal Highway Tax | Amount 29,824.82",State-tribal motor vehicle fuel and special fuel tax agreement (allocation stated by the North Dakota Legislative Council); NDCC 57-43.1-02(1) and 57-43.2-02(1) (rate); NDCC 57-43.1-03.2(2) (fuels tax refund reserve fund),DERIVED_TAXABLE_BASE,"TWO DIVISIONS, BOTH ON QUOTED RATES. $29,824.82 distributed / 0.75 (the tribe's share of collections under the agreement, 76 percent less a 1 percent administration fee, North Dakota Legislative Council) = $39,766.43 of state motor vehicle fuel and special fuel tax collected within the reservation; / $0.23 per gallon (NDCC 57-43.1-02(1) and 57-43.2-02(1)) = 172,898 GALLONS. IT IS A VOLUME AND NEVER A DOLLAR FIGURE. Treat it as a LOWER BOUND on gallons: NDCC 57-43.2-03(1) taxes propane at two percent of value and dyed diesel at four cents per gallon, and any such fuel pooled into the distribution generated fewer cents per gallon than 23; and NDCC 57-43.1-03.2(1) refunds fuel tax to individual enrolled members buying on their own reservation, which removes gallons from the pool. Both leaks push the true gallon count UP, never down.",https://apps.nd.gov/stn/inquiry/,2026-08-07,A,"This is money the STATE OF NORTH DAKOTA DISTRIBUTED TO the tribe under a state-tribal tax agreement. It is the tribe's share of tax collected from retailers, wholesalers and consumers inside the reservation - it is not a tax paid BY the tribe and must never be published as a tribal tax burden. It is also not a taxable base: recovering a base needs the agreement's sharing rate AND the statutory tax rate, two divisions. PERIOD IS THE PAYMENT DATE, NOT A TAX PERIOD. The State Treasurer publishes the date the distribution was made. North Dakota publishes no statement of which collection period each payment settles, so the period columns carry the payment date on both ends and the underlying sale month is earlier by an unpublished lag.",2026-08-07,CE-001AN-MP
TTAX-NDT-0021,TRBF-SPRTLK-00,Spirit Lake,ND,MOTOR_FUEL,2007-07-16,2007-07-16,18473.55,0.23,usd_per_gallon,107093,gallons,"Except as otherwise provided in this section, a tax of twenty-three cents per gallon [3.79 liters] is imposed on all motor vehicle fuel sold or used in this state. || Except as otherwise provided in this chapter, an excise tax of twenty-three cents per gallon [3.79 liters] is imposed on the sale or delivery of all special fuel sold or used in this state. || The Spirit Lake Tribe, which became effective September 1, 2006, provides for a revenue allocation of 76 percent, less a 1 percent administration fee, to the tribe. Twenty-four percent, plus the 1 percent administration fee, is deposited in the general fund.","Payment Date 07/16/2007 | Tribe Name Spirit Lake Tribe | Tax Type Tribal Highway Tax | Amount 18,473.55",State-tribal motor vehicle fuel and special fuel tax agreement (allocation stated by the North Dakota Legislative Council); NDCC 57-43.1-02(1) and 57-43.2-02(1) (rate); NDCC 57-43.1-03.2(2) (fuels tax refund reserve fund),DERIVED_TAXABLE_BASE,"TWO DIVISIONS, BOTH ON QUOTED RATES. $18,473.55 distributed / 0.75 (the tribe's share of collections under the agreement, 76 percent less a 1 percent administration fee, North Dakota Legislative Council) = $24,631.40 of state motor vehicle fuel and special fuel tax collected within the reservation; / $0.23 per gallon (NDCC 57-43.1-02(1) and 57-43.2-02(1)) = 107,093 GALLONS. IT IS A VOLUME AND NEVER A DOLLAR FIGURE. Treat it as a LOWER BOUND on gallons: NDCC 57-43.2-03(1) taxes propane at two percent of value and dyed diesel at four cents per gallon, and any such fuel pooled into the distribution generated fewer cents per gallon than 23; and NDCC 57-43.1-03.2(1) refunds fuel tax to individual enrolled members buying on their own reservation, which removes gallons from the pool. Both leaks push the true gallon count UP, never down.",https://apps.nd.gov/stn/inquiry/,2026-08-07,A,"This is money the STATE OF NORTH DAKOTA DISTRIBUTED TO the tribe under a state-tribal tax agreement. It is the tribe's share of tax collected from retailers, wholesalers and consumers inside the reservation - it is not a tax paid BY the tribe and must never be published as a tribal tax burden. It is also not a taxable base: recovering a base needs the agreement's sharing rate AND the statutory tax rate, two divisions. PERIOD IS THE PAYMENT DATE, NOT A TAX PERIOD. The State Treasurer publishes the date the distribution was made. North Dakota publishes no statement of which collection period each payment settles, so the period columns carry the payment date on both ends and the underlying sale month is earlier by an unpublished lag.",2026-08-07,CE-001AN-MP
TTAX-NDT-0025,TRBF-SPRTLK-00,Spirit Lake,ND,MOTOR_FUEL,2007-11-15,2007-11-15,21505.30,0.23,usd_per_gallon,124668,gallons,"Except as otherwise provided in this section, a tax of twenty-three cents per gallon [3.79 liters] is imposed on all motor vehicle fuel sold or used in this state. || Except as otherwise provided in this chapter, an excise tax of twenty-three cents per gallon [3.79 liters] is imposed on the sale or delivery of all special fuel sold or used in this state. || The Spirit Lake Tribe, which became effective September 1, 2006, provides for a revenue allocation of 76 percent, less a 1 percent administration fee, to the tribe. Twenty-four percent, plus the 1 percent administration fee, is deposited in the general fund.","Payment Date 11/15/2007 | Tribe Name Spirit Lake Tribe | Tax Type Tribal Highway Tax | Amount 21,505.30",State-tribal motor vehicle fuel and special fuel tax agreement (allocation stated by the North Dakota Legislative Council); NDCC 57-43.1-02(1) and 57-43.2-02(1) (rate); NDCC 57-43.1-03.2(2) (fuels tax refund reserve fund),DERIVED_TAXABLE_BASE,"TWO DIVISIONS, BOTH ON QUOTED RATES. $21,505.30 distributed / 0.75 (the tribe's share of collections under the agreement, 76 percent less a 1 percent administration fee, North Dakota Legislative Council) = $28,673.73 of state motor vehicle fuel and special fuel tax collected within the reservation; / $0.23 per gallon (NDCC 57-43.1-02(1) and 57-43.2-02(1)) = 124,668 GALLONS. IT IS A VOLUME AND NEVER A DOLLAR FIGURE. Treat it as a LOWER BOUND on gallons: NDCC 57-43.2-03(1) taxes propane at two percent of value and dyed diesel at four cents per gallon, and any such fuel pooled into the distribution generated fewer cents per gallon than 23; and NDCC 57-43.1-03.2(1) refunds fuel tax to individual enrolled members buying on their own reservation, which removes gallons from the pool. Both leaks push the true gallon count UP, never down.",https://apps.nd.gov/stn/inquiry/,2026-08-07,A,"This is money the STATE OF NORTH DAKOTA DISTRIBUTED TO the tribe under a state-tribal tax agreement. It is the tribe's share of tax collected from retailers, wholesalers and consumers inside the reservation - it is not a tax paid BY the tribe and must never be published as a tribal tax burden. It is also not a taxable base: recovering a base needs the agreement's sharing rate AND the statutory tax rate, two divisions. PERIOD IS THE PAYMENT DATE, NOT A TAX PERIOD. The State Treasurer publishes the date the distribution was made. North Dakota publishes no statement of which collection period each payment settles, so the period columns carry the payment date on both ends and the underlying sale month is earlier by an unpublished lag.",2026-08-07,CE-001AN-MP
TTAX-NDT-0029,TRBF-SPRTLK-00,Spirit Lake,ND,MOTOR_FUEL,2008-03-14,2008-03-14,1738.27,0.23,usd_per_gallon,10077,gallons,"Except as otherwise provided in this section, a tax of twenty-three cents per gallon [3.79 liters] is imposed on all motor vehicle fuel sold or used in this state. || Except as otherwise provided in this chapter, an excise tax of twenty-three cents per gallon [3.79 liters] is imposed on the sale or delivery of all special fuel sold or used in this state. || The Spirit Lake Tribe, which became effective September 1, 2006, provides for a revenue allocation of 76 percent, less a 1 percent administration fee, to the tribe. Twenty-four percent, plus the 1 percent administration fee, is deposited in the general fund.","Payment Date 03/14/2008 | Tribe Name Spirit Lake Tribe | Tax Type Tribal Highway Tax | Amount 1,738.27",State-tribal motor vehicle fuel and special fuel tax agreement (allocation stated by the North Dakota Legislative Council); NDCC 57-43.1-02(1) and 57-43.2-02(1) (rate); NDCC 57-43.1-03.2(2) (fuels tax refund reserve fund),DERIVED_TAXABLE_BASE,"TWO DIVISIONS, BOTH ON QUOTED RATES. $1,738.27 distributed / 0.75 (the tribe's share of collections under the agreement, 76 percent less a 1 percent administration fee, North Dakota Legislative Council) = $2,317.69 of state motor vehicle fuel and special fuel tax collected within the reservation; / $0.23 per gallon (NDCC 57-43.1-02(1) and 57-43.2-02(1)) = 10,077 GALLONS. IT IS A VOLUME AND NEVER A DOLLAR FIGURE. Treat it as a LOWER BOUND on gallons: NDCC 57-43.2-03(1) taxes propane at two percent of value and dyed diesel at four cents per gallon, and any such fuel pooled into the distribution generated fewer cents per gallon than 23; and NDCC 57-43.1-03.2(1) refunds fuel tax to individual enrolled members buying on their own reservation, which removes gallons from the pool. Both leaks push the true gallon count UP, never down.",https://apps.nd.gov/stn/inquiry/,2026-08-07,A,"This is money the STATE OF NORTH DAKOTA DISTRIBUTED TO the tribe under a state-tribal tax agreement. It is the tribe's share of tax collected from retailers, wholesalers and consumers inside the reservation - it is not a tax paid BY the tribe and must never be published as a tribal tax burden. It is also not a taxable base: recovering a base needs the agreement's sharing rate AND the statutory tax rate, two divisions. PERIOD IS THE PAYMENT DATE, NOT A TAX PERIOD. The State Treasurer publishes the date the distribution was made. North Dakota publishes no statement of which collection period each payment settles, so the period columns carry the payment date on both ends and the underlying sale month is earlier by an unpublished lag.",2026-08-07,CE-001AN-MP
TTAX-NDT-0033,TRBF-SPRTLK-00,Spirit Lake,ND,MOTOR_FUEL,2008-07-15,2008-07-15,24732.54,0.23,usd_per_gallon,143377,gallons,"Except as otherwise provided in this section, a tax of twenty-three cents per gallon [3.79 liters] is imposed on all motor vehicle fuel sold or used in this state. || Except as otherwise provided in this chapter, an excise tax of twenty-three cents per gallon [3.79 liters] is imposed on the sale or delivery of all special fuel sold or used in this state. || The Spirit Lake Tribe, which became effective September 1, 2006, provides for a revenue allocation of 76 percent, less a 1 percent administration fee, to the tribe. Twenty-four percent, plus the 1 percent administration fee, is deposited in the general fund.","Payment Date 07/15/2008 | Tribe Name Spirit Lake Tribe | Tax Type Tribal Highway Tax | Amount 24,732.54",State-tribal motor vehicle fuel and special fuel tax agreement (allocation stated by the North Dakota Legislative Council); NDCC 57-43.1-02(1) and 57-43.2-02(1) (rate); NDCC 57-43.1-03.2(2) (fuels tax refund reserve fund),DERIVED_TAXABLE_BASE,"TWO DIVISIONS, BOTH ON QUOTED RATES. $24,732.54 distributed / 0.75 (the tribe's share of collections under the agreement, 76 percent less a 1 percent administration fee, North Dakota Legislative Council) = $32,976.72 of state motor vehicle fuel and special fuel tax collected within the reservation; / $0.23 per gallon (NDCC 57-43.1-02(1) and 57-43.2-02(1)) = 143,377 GALLONS. IT IS A VOLUME AND NEVER A DOLLAR FIGURE. Treat it as a LOWER BOUND on gallons: NDCC 57-43.2-03(1) taxes propane at two percent of value and dyed diesel at four cents per gallon, and any such fuel pooled into the distribution generated fewer cents per gallon than 23; and NDCC 57-43.1-03.2(1) refunds fuel tax to individual enrolled members buying on their own reservation, which removes gallons from the pool. Both leaks push the true gallon count UP, never down.",https://apps.nd.gov/stn/inquiry/,2026-08-07,A,"This is money the STATE OF NORTH DAKOTA DISTRIBUTED TO the tribe under a state-tribal tax agreement. It is the tribe's share of tax collected from retailers, wholesalers and consumers inside the reservation - it is not a tax paid BY the tribe and must never be published as a tribal tax burden. It is also not a taxable base: recovering a base needs the agreement's sharing rate AND the statutory tax rate, two divisions. PERIOD IS THE PAYMENT DATE, NOT A TAX PERIOD. The State Treasurer publishes the date the distribution was made. North Dakota publishes no statement of which collection period each payment settles, so the period columns carry the payment date on both ends and the underlying sale month is earlier by an unpublished lag.",2026-08-07,CE-001AN-MP
TTAX-NDT-0037,TRBF-SPRTLK-00,Spirit Lake,ND,MOTOR_FUEL,2008-11-17,2008-11-17,17721.24,0.23,usd_per_gallon,102732,gallons,"Except as otherwise provided in this section, a tax of twenty-three cents per gallon [3.79 liters] is imposed on all motor vehicle fuel sold or used in this state. || Except as otherwise provided in this chapter, an excise tax of twenty-three cents per gallon [3.79 liters] is imposed on the sale or delivery of all special fuel sold or used in this state. || The Spirit Lake Tribe, which became effective September 1, 2006, provides for a revenue allocation of 76 percent, less a 1 percent administration fee, to the tribe. Twenty-four percent, plus the 1 percent administration fee, is deposited in the general fund.","Payment Date 11/17/2008 | Tribe Name Spirit Lake Tribe | Tax Type Tribal Highway Tax | Amount 17,721.24",State-tribal motor vehicle fuel and special fuel tax agreement (allocation stated by the North Dakota Legislative Council); NDCC 57-43.1-02(1) and 57-43.2-02(1) (rate); NDCC 57-43.1-03.2(2) (fuels tax refund reserve fund),DERIVED_TAXABLE_BASE,"TWO DIVISIONS, BOTH ON QUOTED RATES. $17,721.24 distributed / 0.75 (the tribe's share of collections under the agreement, 76 percent less a 1 percent administration fee, North Dakota Legislative Council) = $23,628.32 of state motor vehicle fuel and special fuel tax collected within the reservation; / $0.23 per gallon (NDCC 57-43.1-02(1) and 57-43.2-02(1)) = 102,732 GALLONS. IT IS A VOLUME AND NEVER A DOLLAR FIGURE. Treat it as a LOWER BOUND on gallons: NDCC 57-43.2-03(1) taxes propane at two percent of value and dyed diesel at four cents per gallon, and any such fuel pooled into the distribution generated fewer cents per gallon than 23; and NDCC 57-43.1-03.2(1) refunds fuel tax to individual enrolled members buying on their own reservation, which removes gallons from the pool. Both leaks push the true gallon count UP, never down.",https://apps.nd.gov/stn/inquiry/,2026-08-07,A,"This is money the STATE OF NORTH DAKOTA DISTRIBUTED TO the tribe under a state-tribal tax agreement. It is the tribe's share of tax collected from retailers, wholesalers and consumers inside the reservation - it is not a tax paid BY the tribe and must never be published as a tribal tax burden. It is also not a taxable base: recovering a base needs the agreement's sharing rate AND the statutory tax rate, two divisions. PERIOD IS THE PAYMENT DATE, NOT A TAX PERIOD. The State Treasurer publishes the date the distribution was made. North Dakota publishes no statement of which collection period each payment settles, so the period columns carry the payment date on both ends and the underlying sale month is earlier by an unpublished lag.",2026-08-07,CE-001AN-MP
TTAX-NDT-0041,TRBF-SPRTLK-00,Spirit Lake,ND,MOTOR_FUEL,2009-03-13,2009-03-13,2385.09,0.23,usd_per_gallon,13827,gallons,"Except as otherwise provided in this section, a tax of twenty-three cents per gallon [3.79 liters] is imposed on all motor vehicle fuel sold or used in this state. || Except as otherwise provided in this chapter, an excise tax of twenty-three cents per gallon [3.79 liters] is imposed on the sale or delivery of all special fuel sold or used in this state. || The Spirit Lake Tribe, which became effective September 1, 2006, provides for a revenue allocation of 76 percent, less a 1 percent administration fee, to the tribe. Twenty-four percent, plus the 1 percent administration fee, is deposited in the general fund.","Payment Date 03/13/2009 | Tribe Name Spirit Lake Tribe | Tax Type Tribal Highway Tax | Amount 2,385.09",State-tribal motor vehicle fuel and special fuel tax agreement (allocation stated by the North Dakota Legislative Council); NDCC 57-43.1-02(1) and 57-43.2-02(1) (rate); NDCC 57-43.1-03.2(2) (fuels tax refund reserve fund),DERIVED_TAXABLE_BASE,"TWO DIVISIONS, BOTH ON QUOTED RATES. $2,385.09 distributed / 0.75 (the tribe's share of collections under the agreement, 76 percent less a 1 percent administration fee, North Dakota Legislative Council) = $3,180.12 of state motor vehicle fuel and special fuel tax collected within the reservation; / $0.23 per gallon (NDCC 57-43.1-02(1) and 57-43.2-02(1)) = 13,827 GALLONS. IT IS A VOLUME AND NEVER A DOLLAR FIGURE. Treat it as a LOWER BOUND on gallons: NDCC 57-43.2-03(1) taxes propane at two percent of value and dyed diesel at four cents per gallon, and any such fuel pooled into the distribution generated fewer cents per gallon than 23; and NDCC 57-43.1-03.2(1) refunds fuel tax to individual enrolled members buying on their own reservation, which removes gallons from the pool. Both leaks push the true gallon count UP, never down.",https://apps.nd.gov/stn/inquiry/,2026-08-07,A,"This is money the STATE OF NORTH DAKOTA DISTRIBUTED TO the tribe under a state-tribal tax agreement. It is the tribe's share of tax collected from retailers, wholesalers and consumers inside the reservation - it is not a tax paid BY the tribe and must never be published as a tribal tax burden. It is also not a taxable base: recovering a base needs the agreement's sharing rate AND the statutory tax rate, two divisions. PERIOD IS THE PAYMENT DATE, NOT A TAX PERIOD. The State Treasurer publishes the date the distribution was made. North Dakota publishes no statement of which collection period each payment settles, so the period columns carry the payment date on both ends and the underlying sale month is earlier by an unpublished lag.",2026-08-07,CE-001AN-MP
TTAX-NDT-0045,TRBF-SPRTLK-00,Spirit Lake,ND,MOTOR_FUEL,2009-07-15,2009-07-15,30236.08,0.23,usd_per_gallon,175282,gallons,"Except as otherwise provided in this section, a tax of twenty-three cents per gallon [3.79 liters] is imposed on all motor vehicle fuel sold or used in this state. || Except as otherwise provided in this chapter, an excise tax of twenty-three cents per gallon [3.79 liters] is imposed on the sale or delivery of all special fuel sold or used in this state. || The Spirit Lake Tribe, which became effective September 1, 2006, provides for a revenue allocation of 76 percent, less a 1 percent administration fee, to the tribe. Twenty-four percent, plus the 1 percent administration fee, is deposited in the general fund.","Payment Date 07/15/2009 | Tribe Name Spirit Lake Tribe | Tax Type Tribal Highway Tax | Amount 30,236.08",State-tribal motor vehicle fuel and special fuel tax agreement (allocation stated by the North Dakota Legislative Council); NDCC 57-43.1-02(1) and 57-43.2-02(1) (rate); NDCC 57-43.1-03.2(2) (fuels tax refund reserve fund),DERIVED_TAXABLE_BASE,"TWO DIVISIONS, BOTH ON QUOTED RATES. $30,236.08 distributed / 0.75 (the tribe's share of collections under the agreement, 76 percent less a 1 percent administration fee, North Dakota Legislative Council) = $40,314.77 of state motor vehicle fuel and special fuel tax collected within the reservation; / $0.23 per gallon (NDCC 57-43.1-02(1) and 57-43.2-02(1)) = 175,282 GALLONS. IT IS A VOLUME AND NEVER A DOLLAR FIGURE. Treat it as a LOWER BOUND on gallons: NDCC 57-43.2-03(1) taxes propane at two percent of value and dyed diesel at four cents per gallon, and any such fuel pooled into the distribution generated fewer cents per gallon than 23; and NDCC 57-43.1-03.2(1) refunds fuel tax to individual enrolled members buying on their own reservation, which removes gallons from the pool. Both leaks push the true gallon count UP, never down.",https://apps.nd.gov/stn/inquiry/,2026-08-07,A,"This is money the STATE OF NORTH DAKOTA DISTRIBUTED TO the tribe under a state-tribal tax agreement. It is the tribe's share of tax collected from retailers, wholesalers and consumers inside the reservation - it is not a tax paid BY the tribe and must never be published as a tribal tax burden. It is also not a taxable base: recovering a base needs the agreement's sharing rate AND the statutory tax rate, two divisions. PERIOD IS THE PAYMENT DATE, NOT A TAX PERIOD. The State Treasurer publishes the date the distribution was made. North Dakota publishes no statement of which collection period each payment settles, so the period columns carry the payment date on both ends and the underlying sale month is earlier by an unpublished lag.",2026-08-07,CE-001AN-MP
TTAX-NDT-0049,TRBF-SPRTLK-00,Spirit Lake,ND,MOTOR_FUEL,2009-11-16,2009-11-16,29828.85,0.23,usd_per_gallon,172921,gallons,"Except as otherwise provided in this section, a tax of twenty-three cents per gallon [3.79 liters] is imposed on all motor vehicle fuel sold or used in this state. || Except as otherwise provided in this chapter, an excise tax of twenty-three cents per gallon [3.79 liters] is imposed on the sale or delivery of all special fuel sold or used in this state. || The Spirit Lake Tribe, which became effective September 1, 2006, provides for a revenue allocation of 76 percent, less a 1 percent administration fee, to the tribe. Twenty-four percent, plus the 1 percent administration fee, is deposited in the general fund.","Payment Date 11/16/2009 | Tribe Name Spirit Lake Tribe | Tax Type Tribal Highway Tax | Amount 29,828.85",State-tribal motor vehicle fuel and special fuel tax agreement (allocation stated by the North Dakota Legislative Council); NDCC 57-43.1-02(1) and 57-43.2-02(1) (rate); NDCC 57-43.1-03.2(2) (fuels tax refund reserve fund),DERIVED_TAXABLE_BASE,"TWO DIVISIONS, BOTH ON QUOTED RATES. $29,828.85 distributed / 0.75 (the tribe's share of collections under the agreement, 76 percent less a 1 percent administration fee, North Dakota Legislative Council) = $39,771.80 of state motor vehicle fuel and special fuel tax collected within the reservation; / $0.23 per gallon (NDCC 57-43.1-02(1) and 57-43.2-02(1)) = 172,921 GALLONS. IT IS A VOLUME AND NEVER A DOLLAR FIGURE. Treat it as a LOWER BOUND on gallons: NDCC 57-43.2-03(1) taxes propane at two percent of value and dyed diesel at four cents per gallon, and any such fuel pooled into the distribution generated fewer cents per gallon than 23; and NDCC 57-43.1-03.2(1) refunds fuel tax to individual enrolled members buying on their own reservation, which removes gallons from the pool. Both leaks push the true gallon count UP, never down.",https://apps.nd.gov/stn/inquiry/,2026-08-07,A,"This is money the STATE OF NORTH DAKOTA DISTRIBUTED TO the tribe under a state-tribal tax agreement. It is the tribe's share of tax collected from retailers, wholesalers and consumers inside the reservation - it is not a tax paid BY the tribe and must never be published as a tribal tax burden. It is also not a taxable base: recovering a base needs the agreement's sharing rate AND the statutory tax rate, two divisions. PERIOD IS THE PAYMENT DATE, NOT A TAX PERIOD. The State Treasurer publishes the date the distribution was made. North Dakota publishes no statement of which collection period each payment settles, so the period columns carry the payment date on both ends and the underlying sale month is earlier by an unpublished lag.",2026-08-07,CE-001AN-MP
TTAX-NDT-0053,TRBF-SPRTLK-00,Spirit Lake,ND,MOTOR_FUEL,2010-03-12,2010-03-12,22015.86,0.23,usd_per_gallon,127628,gallons,"Except as otherwise provided in this section, a tax of twenty-three cents per gallon [3.79 liters] is imposed on all motor vehicle fuel sold or used in this state. || Except as otherwise provided in this chapter, an excise tax of twenty-three cents per gallon [3.79 liters] is imposed on the sale or delivery of all special fuel sold or used in this state. || The Spirit Lake Tribe, which became effective September 1, 2006, provides for a revenue allocation of 76 percent, less a 1 percent administration fee, to the tribe. Twenty-four percent, plus the 1 percent administration fee, is deposited in the general fund.","Payment Date 03/12/2010 | Tribe Name Spirit Lake Tribe | Tax Type Tribal Highway Tax | Amount 22,015.86",State-tribal motor vehicle fuel and special fuel tax agreement (allocation stated by the North Dakota Legislative Council); NDCC 57-43.1-02(1) and 57-43.2-02(1) (rate); NDCC 57-43.1-03.2(2) (fuels tax refund reserve fund),DERIVED_TAXABLE_BASE,"TWO DIVISIONS, BOTH ON QUOTED RATES. $22,015.86 distributed / 0.75 (the tribe's share of collections under the agreement, 76 percent less a 1 percent administration fee, North Dakota Legislative Council) = $29,354.48 of state motor vehicle fuel and special fuel tax collected within the reservation; / $0.23 per gallon (NDCC 57-43.1-02(1) and 57-43.2-02(1)) = 127,628 GALLONS. IT IS A VOLUME AND NEVER A DOLLAR FIGURE. Treat it as a LOWER BOUND on gallons: NDCC 57-43.2-03(1) taxes propane at two percent of value and dyed diesel at four cents per gallon, and any such fuel pooled into the distribution generated fewer cents per gallon than 23; and NDCC 57-43.1-03.2(1) refunds fuel tax to individual enrolled members buying on their own reservation, which removes gallons from the pool. Both leaks push the true gallon count UP, never down.",https://apps.nd.gov/stn/inquiry/,2026-08-07,A,"This is money the STATE OF NORTH DAKOTA DISTRIBUTED TO the tribe under a state-tribal tax agreement. It is the tribe's share of tax collected from retailers, wholesalers and consumers inside the reservation - it is not a tax paid BY the tribe and must never be published as a tribal tax burden. It is also not a taxable base: recovering a base needs the agreement's sharing rate AND the statutory tax rate, two divisions. PERIOD IS THE PAYMENT DATE, NOT A TAX PERIOD. The State Treasurer publishes the date the distribution was made. North Dakota publishes no statement of which collection period each payment settles, so the period columns carry the payment date on both ends and the underlying sale month is earlier by an unpublished lag.",2026-08-07,CE-001AN-MP
