participant_id,nrc_meeting_id,meeting_number,meeting_date,external_participant_verbatim,participant_type,is_natural_person,participant_name_withheld_reason,organisation_id,resolved_entity_id,resolved_entity_name,resolve_method,entity_link_held_candidate_id,entity_link_held_candidate_name,entity_link_hold_reason,matter_id,native_entity_id,channel,event_class,is_lobbying,classification_status,classification_basis_quote,channel_note,nrc_office_verbatim,facility_verbatim,purpose_verbatim,position_addressable,source_url,source_record_id,fetched_date,confidence_tier,cedar_uid
NRC-PMNS-20132140#0,NRC-PMNS-20132140,20132140,2013-10-01,Powertech (USA) Inc.,ORGANISATION,N,,ORG:POWERTECH_USA_INC_,,,,,,,04009075,,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Office of Federal and State Materials and Environmental Management Programs,POWERTECH (USA) INC.,* Meeting Canceled * | Meeting to Discuss Powertech’s Proposed Statistical Analysis of Radium-226 Soil Sampling Data and Gamma Measurements for the Dewey-Burdock Project,N,https://www.nrc.gov/public-involve/public-meetings/pmns/20132140,NRC PMNS meeting 20132140,2026-08-12,A,
NRC-PMNS-20132497#8,NRC-PMNS-20132497,20132497,2014-01-23,General Electric Company,ORGANISATION,N,,ORG:GENERAL_ELECTRIC_COMPANY,,,,,,,04008907,,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Office of Federal and State Materials and Environmental Management Programs,UNC MINING & MILLING,To discuss GE/UNC’s planned approach to fulfill the requirements of the NRC environmental review process for a future license amendment package to dispose of mine waste from the Northeast Church Rock Mine Site to the UNC Church Rock Mill Site,N,https://www.nrc.gov/public-involve/public-meetings/pmns/20132497,NRC PMNS meeting 20132497,2026-08-12,A,
NRC-PMNS-20140365#12,NRC-PMNS-20140365,20140365,2014-03-03,Uranerz Energy Corporation,ORGANISATION,N,,ORG:URANERZ_ENERGY_CORPORATION,,,,,,,04009067,,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Office of Federal and State Materials and Environmental Management Programs,URANERZ ENERGY CORPORATION,"To discuss Uranerz Energy Corporation, Nichols Ranch Project Licensing issues",N,https://www.nrc.gov/public-involve/public-meetings/pmns/20140365,NRC PMNS meeting 20140365,2026-08-12,A,
NRC-PMNS-20140943#27,NRC-PMNS-20140943,20140943,2014-06-04,Entergy Nuclear Operations Inc,ORGANISATION,N,,ORG:ENTERGY_NUCLEAR_OPERATIONS_INC,,,,,,,05000247 | 05000286,,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Region I,Indian Point 2 | Indian Point 3,"The U.S. Nuclear Regulatory Commission (NRC) will host an open house and public meeting to discuss the NRC's assessment of safety performance at Indian Point Units 2 and 3 for 2013, as described in the NRC annual assessment letter dated March 4, 2014. The NRC will respond to questions on specific performance issues at the plant and our role in ensuring safe plant operations.",N,https://www.nrc.gov/public-involve/public-meetings/pmns/20140943,NRC PMNS meeting 20140943,2026-08-12,A,
NRC-PMNS-20150674#81,NRC-PMNS-20150674,20150674,2015-05-15,CONFEDERATED SALISH AND KOOTENAI TRIBE,ORGANISATION,N,,ORG:CONFEDERATED_SALISH_AND_KOOTENAI_TRIBE,,,containment,CE-0011G-99,Salish Kootenai College,"containment_held: containment may resolve an owner already named in evidence, never detect a match (AGENTS.md, THE CONTAINMENT DEFECT)",04009091,,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Office of Nuclear Material Safety and Safeguards,"STRATA ENERGY, INC.","The US Nuclear Regulatory Commission (NRC) has issued a license to Strata Energy for the Ross In-Situ Uranium Recovery Project, Crook County, Wyoming. Under regulations set out at 36 CFR 800. 14, the NRC, along with various other parties, have entered into a Programmatic Agreement (PA) for the management of cultural resource which might be impacted by the Project. As a part of the PA, Strata Energy submits an Annual Report on implementation of the PA. The report for 2014 has been provided to the parties involved in consultations for the Project. The purpose of this proposed conference call is for the NRC to gather any comments the parties involved in consultations may have on the 2014 Annual Report. NRC will initiate the call by providing consulting parties with a toll-free call-in number and pass code to access the call.",N,https://www.nrc.gov/public-involve/public-meetings/pmns/20150674,NRC PMNS meeting 20150674,2026-08-12,A,
NRC-PMNS-20150674#85,NRC-PMNS-20150674,20150674,2015-05-15,FLANDREAU SANTEE LAKOTA TRIBE,ORGANISATION,N,,ORG:FLANDREAU_SANTEE_LAKOTA_TRIBE,,,containment,CE-0014E-C7,Flandreau,"containment_held: containment may resolve an owner already named in evidence, never detect a match (AGENTS.md, THE CONTAINMENT DEFECT)",04009091,,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Office of Nuclear Material Safety and Safeguards,"STRATA ENERGY, INC.","The US Nuclear Regulatory Commission (NRC) has issued a license to Strata Energy for the Ross In-Situ Uranium Recovery Project, Crook County, Wyoming. Under regulations set out at 36 CFR 800. 14, the NRC, along with various other parties, have entered into a Programmatic Agreement (PA) for the management of cultural resource which might be impacted by the Project. As a part of the PA, Strata Energy submits an Annual Report on implementation of the PA. The report for 2014 has been provided to the parties involved in consultations for the Project. The purpose of this proposed conference call is for the NRC to gather any comments the parties involved in consultations may have on the 2014 Annual Report. NRC will initiate the call by providing consulting parties with a toll-free call-in number and pass code to access the call.",N,https://www.nrc.gov/public-involve/public-meetings/pmns/20150674,NRC PMNS meeting 20150674,2026-08-12,A,
NRC-PMNS-20150674#91,NRC-PMNS-20150674,20150674,2015-05-15,NORTHERN CHEYENNE TRIBE,ORGANISATION,N,,CE-0017N-56,CE-0017N-56,Northern Cheyenne,core,,,,04009091,CE-0017N-56,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Office of Nuclear Material Safety and Safeguards,"STRATA ENERGY, INC.","The US Nuclear Regulatory Commission (NRC) has issued a license to Strata Energy for the Ross In-Situ Uranium Recovery Project, Crook County, Wyoming. Under regulations set out at 36 CFR 800. 14, the NRC, along with various other parties, have entered into a Programmatic Agreement (PA) for the management of cultural resource which might be impacted by the Project. As a part of the PA, Strata Energy submits an Annual Report on implementation of the PA. The report for 2014 has been provided to the parties involved in consultations for the Project. The purpose of this proposed conference call is for the NRC to gather any comments the parties involved in consultations may have on the 2014 Annual Report. NRC will initiate the call by providing consulting parties with a toll-free call-in number and pass code to access the call.",Y,https://www.nrc.gov/public-involve/public-meetings/pmns/20150674,NRC PMNS meeting 20150674,2026-08-12,A,CE-0017N-56
NRC-PMNS-20150674#95,NRC-PMNS-20150674,20150674,2015-05-15,SISSETON-WAHPETON LAKOTA TRIBE,ORGANISATION,N,,ORG:SISSETON_WAHPETON_LAKOTA_TRIBE,,,containment,CE-001B3-D4,Sisseton-Wahpeton,"containment_held: containment may resolve an owner already named in evidence, never detect a match (AGENTS.md, THE CONTAINMENT DEFECT)",04009091,,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Office of Nuclear Material Safety and Safeguards,"STRATA ENERGY, INC.","The US Nuclear Regulatory Commission (NRC) has issued a license to Strata Energy for the Ross In-Situ Uranium Recovery Project, Crook County, Wyoming. Under regulations set out at 36 CFR 800. 14, the NRC, along with various other parties, have entered into a Programmatic Agreement (PA) for the management of cultural resource which might be impacted by the Project. As a part of the PA, Strata Energy submits an Annual Report on implementation of the PA. The report for 2014 has been provided to the parties involved in consultations for the Project. The purpose of this proposed conference call is for the NRC to gather any comments the parties involved in consultations may have on the 2014 Annual Report. NRC will initiate the call by providing consulting parties with a toll-free call-in number and pass code to access the call.",N,https://www.nrc.gov/public-involve/public-meetings/pmns/20150674,NRC PMNS meeting 20150674,2026-08-12,A,
NRC-PMNS-20150674#99,NRC-PMNS-20150674,20150674,2015-05-15,YANKTON LAKOTA TRIBE,ORGANISATION,N,,ORG:YANKTON_LAKOTA_TRIBE,,,containment,CE-001CD-EE,Yankton,"containment_held: containment may resolve an owner already named in evidence, never detect a match (AGENTS.md, THE CONTAINMENT DEFECT)",04009091,,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Office of Nuclear Material Safety and Safeguards,"STRATA ENERGY, INC.","The US Nuclear Regulatory Commission (NRC) has issued a license to Strata Energy for the Ross In-Situ Uranium Recovery Project, Crook County, Wyoming. Under regulations set out at 36 CFR 800. 14, the NRC, along with various other parties, have entered into a Programmatic Agreement (PA) for the management of cultural resource which might be impacted by the Project. As a part of the PA, Strata Energy submits an Annual Report on implementation of the PA. The report for 2014 has been provided to the parties involved in consultations for the Project. The purpose of this proposed conference call is for the NRC to gather any comments the parties involved in consultations may have on the 2014 Annual Report. NRC will initiate the call by providing consulting parties with a toll-free call-in number and pass code to access the call.",N,https://www.nrc.gov/public-involve/public-meetings/pmns/20150674,NRC PMNS meeting 20150674,2026-08-12,A,
NRC-PMNS-20170421#152,NRC-PMNS-20170421,20170421,2017-04-11,"Crow Butte Resources, Inc.",ORGANISATION,N,,ORG:CROW_BUTTE_RESOURCES_INC_,,,containment,CE-0013W-VN,Crow,"containment_held: containment may resolve an owner already named in evidence, never detect a match (AGENTS.md, THE CONTAINMENT DEFECT)",04008943,,REGULATORY_EX_PARTE,ADVOCACY,N,DEFAULT_SCHEDULED_REGULATORY_MEETING,,An NRC public meeting is publicly noticed on the agency's own schedule. REGULATORY_EX_PARTE names the channel family (direct regulator/stakeholder engagement on a docket) and does NOT imply a communication outside the public record.,Office of Nuclear Material Safety and Safeguards,"CROW BUTTE RESOURCES, INC.","To discuss Crow Butte Resources, Inc.’s evaporation pond requirements amendment request for Materials License SUA-1534",N,https://www.nrc.gov/public-involve/public-meetings/pmns/20170421,NRC PMNS meeting 20170421,2026-08-12,A,
