document_number,publication_date,effective_on,title,abstract,type,action,agency_names,agency_raw_names,agency_slugs,docket_ids,regulation_id_numbers,cfr_references,comment_url,dates,html_url,pdf_url,json_url,net_caught,keyword_terms_matched,title_abstract_term_hit,title_abstract_terms,source_url,api_endpoint,fetched_date,action_type,action_type_rule,action_type_signal,action_type_source_field,tribe_or_native_entity,pre_2000_flag,floor_basis_field
95-1113,1995-01-18,1995-02-17,Public Housing Program; Demolition or Disposition of Public Housing Projects,"This rule makes final the interim rule which implemented section 121 of the Housing and Community Development Act of 1987. Section 121 amended section 18 of the United States Housing Act of 1937, which governs the demolition and disposition of public and Indian housing. Section 121 combined two of the previous demolition criteria, so that demolition may be approved if the project is obsolete due to its physical condition, location, or other factors which make it unusable for housing, and no reasonable program of modifications, such as rehabilitation, is feasible to return the project to useful life. Section 121 also provided that projects may not be demolished or disposed of unless the public housing agency (PHA) has developed a plan for the provision of a replacement unit for each unit involved. The plan must include a schedule for its completion (not to exceed six years); and HUD must agree, upon approving the plan, to commit the funds necessary to carry out the plan over the approved schedule, to the extent such funding is not provided from other sources (e.g., State or local programs or proceeds of disposition), and HUD's commitment is subject to the availability of future appropriations. Section 121 repealed a previous statutory provision which made section 18 inapplicable to conveyance of units under homeownership programs. This rule continues that inapplicability to units under certain established homeownership programs, including disposition of a public housing project in accordance with an approved homeownership program under title III of the United States Housing Act of 1937, as provided by section 412(b) of the National Affordable Housing Act (``NAHA''). Section 412(a) of NAHA amended section 18 of the U.S. Housing Act of 1937 to require that tenant councils, resident management corporation, and tenant cooperative, if any, be given appropriate opportunities to purchase the project or portion of the project covered by the demolition or disposition application. Therefore, a separate Federal Register document was published on October 6, 1992, at 57 FR 46074, that set forth the procedures and requirements for providing the opportunity to purchase to tenant councils, resident management corporations, and tenant cooperatives. This document was open to public comment and is being made final by this rule. This rule also contains a provision that states that in the case of scattered-site housing of a public housing agency, the net proceeds of a disposition that is less than the full disposition shall be used for the payment of development cost for the project and for the retirement of outstanding obligations issued to finance original development or modernization of the project, in an amount that bears the same ratio to the total of such costs and obligations as the number of units disposed of bears to the total number of units of the project at the time of disposition. This is a direct statutory requirement in compliance with section 512 of NAHA and, therefore, is contained in this final rule. Section 116 of the Housing and Community Development Act of 1992 modified section 412(a) and provided for the use of 5-year project- based and tenant-based assistance in certain instances. It also provided that a very limited number of units could be demolished before the replacement requirements must be met. The section 116 provisions are considered self-executing and, therefore, are contained in this final rule.",Rule,Final rule.,Housing and Urban Development Department; ,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT; Office of the Assistant Secretary for Public and Indian Housing,housing-and-urban-development-department; ,Docket No. R-95-1407; FR-2463-F-06,2577-AA58,24 CFR 970,,"February 17, 1995.",https://www.federalregister.gov/documents/1995/01/18/95-1113/public-housing-program-demolition-or-disposition-of-public-housing-projects,https://www.govinfo.gov/content/pkg/FR-1995-01-18/pdf/95-1113.pdf,https://www.federalregister.gov/api/v1/documents/95-1113?publication_date=1995-01-18,keyword,"""Native American""; Indian",1,Indian,https://www.federalregister.gov/documents/1995/01/18/95-1113/public-housing-program-demolition-or-disposition-of-public-housing-projects,https://www.federalregister.gov/api/v1/documents.json,2026-08-05,rulemaking,fr_document_type,Rule,type,,1,publication_date
95-5626,1995-03-08,1995-04-07,Conveyance of Federally-Owned Mineral Interests,"This final rule amends 43 CFR part 2720 in order to streamline and clarify the procedures for conveying Federally-owned mineral interests to the owner of the surface estate overlying the mineral interests. Section 209 of the Federal Land Policy and Management Act (FLPMA) allows such conveyances when there are no known mineral values present, or when the reservation of the mineral rights is interfering with or precluding appropriate nonmineral development of the land that would be more beneficial than mineral development. The rule is necessary because the wording of the existing regulation has caused considerable confusion on the part of both the public and public land managers, and has been interpreted to require expensive mineral surveys in many cases where such surveys were unnecessary. The final rule will simplify the conveyance of Federally-owned mineral interests.",Rule,Final rule.,Interior Department; Land Management Bureau,DEPARTMENT OF THE INTERIOR; Bureau of Land Management,interior-department; land-management-bureau,WO-690-02-4120-24 1A; Circular No. 2658,1004-AB86,43 CFR 2720,,"April 7, 1995.",https://www.federalregister.gov/documents/1995/03/08/95-5626/conveyance-of-federally-owned-mineral-interests,https://www.govinfo.gov/content/pkg/FR-1995-03-08/pdf/95-5626.pdf,https://www.federalregister.gov/api/v1/documents/95-5626?publication_date=1995-03-08,keyword,reservation,1,reservation,https://www.federalregister.gov/documents/1995/03/08/95-5626/conveyance-of-federally-owned-mineral-interests,https://www.federalregister.gov/api/v1/documents.json,2026-08-05,rulemaking,fr_document_type,Rule,type,,1,publication_date
95-10091,1995-04-25,1992-02-01,Food Stamp Program: Benefit Delivery Rule,"This rulemaking finalizes three Food Stamp Program provisions relating to benefit delivery. These regulations relate to the staggered issuance of benefits on Indian reservations, combined or aggregate allotments, and the issuance of benefits in rural areas where households may experience difficulty in obtaining program benefits. In addition to the regulatory changes described above, this rule makes final three minor technical changes in current regulatory issuance provisions which are deemed appropriate by the Department to improve benefit issuance.",Rule,Final rule.,Agriculture Department; Food and Consumer Service,DEPARTMENT OF AGRICULTURE; Food and Consumer Service,agriculture-department; food-and-consumer-service,Amendment No. 333,0584-AB32,7 CFR 272; 7 CFR 274,,"The amendments to Secs. 272.2(a)(2) and (d)(1)(xi), and Secs. 274.2(a), (c), and (g) are effective February 1, 1992. State agencies were instructed through an agency directive dated May 20, 1992, to implement these provisions on that date. The amendment to Sec. 274.2(d)(2) is effective March 25, 1994. State agencies were instructed through an agency directive dated March 31, 1994, to implement this provision on that date. All remaining amendments are effective September 1, 1995.",https://www.federalregister.gov/documents/1995/04/25/95-10091/food-stamp-program-benefit-delivery-rule,https://www.govinfo.gov/content/pkg/FR-1995-04-25/pdf/95-10091.pdf,https://www.federalregister.gov/api/v1/documents/95-10091?publication_date=1995-04-25,keyword,Indian; reservation; tribal,1,Indian,https://www.federalregister.gov/documents/1995/04/25/95-10091/food-stamp-program-benefit-delivery-rule,https://www.federalregister.gov/api/v1/documents.json,2026-08-05,rulemaking,fr_document_type,Rule,type,,1,publication_date
95-17811,1995-07-20,1995-07-20,Loan Guarantees for Indian Housing,"This notice extends, until the publication of a final rule, the period that the interim rule for the Loan Guarantees for Indian Housing Program will be in effect.",Rule,Notice of extension of loan guarantees for Indian Housing Program.,Housing and Urban Development Department; ,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT; Office of the Assistant Secretary for Public and Indian Housing,housing-and-urban-development-department; ,Docket No. FR-3614-N-02,2577-AB40,24 CFR 955,,"July 20, 1995.",https://www.federalregister.gov/documents/1995/07/20/95-17811/loan-guarantees-for-indian-housing,https://www.govinfo.gov/content/pkg/FR-1995-07-20/pdf/95-17811.pdf,https://www.federalregister.gov/api/v1/documents/95-17811?publication_date=1995-07-20,keyword,"""Native American""; Indian",1,Indian,https://www.federalregister.gov/documents/1995/07/20/95-17811/loan-guarantees-for-indian-housing,https://www.federalregister.gov/api/v1/documents.json,2026-08-05,rulemaking,fr_document_type,Rule,type,,1,publication_date
96-5539,1996-03-08,1996-03-08,"Food Additive Regulation for Sulfonium, trimethyl-salt with N- (phosphonomethyl)glycine (1:1) (formerly glyphosate-trimesium/ sulfosate)","These regulations establish a food additive regulation for the residues of the herbicide sulfonium, trimethyl-salt with N- (phosphonomethyl)glycine (1:1) (formerly glyphosate-trimesium/ sulfosate) in or on the processed commodity raisins. The regulation to establish maximum permissible levels for residues of the pesticide in or on the commodity was requested in a petition submitted by Zeneca AG Products. EFFECTIVE DATE: This regulation becomes effective March 8, 1996. ADDRESSES: Written objections and hearing requests, identified by the document control number, [FAP 1H5606/R2211], may be submitted to: Hearing Clerk (1900), Environmental Protection Agency, Rm. M3708, 401 M St., SW., Washington, DC 20460. A copy of any objections and hearing requests filed with the Hearing Clerk should be identified by the document control number and submitted to: Public Response and Program Resources Branch, Field Operations Division (7506C), Office of Pesticide Programs, Environmental Protection Agency, 401 M St., SW., Washington , DC 20460. In person, bring copy of objections and hearing requests to Rm. 1132, CM #2, 1921 Jefferson Davis Hwy., Arlington, VA 22202. Fees accompanying objections shall be labeled ``Tolerance Petition Fees'' and forwarded to: EPA Headquarters Accounting Operations Branch, OPP (Tolerance Fees), P.O. Box 360277M, Pittsburgh, PA 15251. An electronic copy of objections and hearing requests filed with the Hearing Clerk may be submitted to OPP by sending electronic mail (e-mail) to: opp-docket@epamail.epa.gov. Copies of electronic objections and hearing requests must be submitted as an ASCII file avoiding the use of special characters and any form of encryption. Copies of electronic objections and hearing requests will also be accepted on disks in WordPerfect 5.1 file format or ASCII file format. All copies of electronic objections and hearing requests must be identified by the docket number [FAP 1H5606/R2211] . No Confidential Business Information (CBI) should be submitted through e-mail. Copies of electronic objections and hearing requests on this rule may be filed online at many Federal Depository Libraries. Additional information on electronic submissions can be found below in this document. FOR FURTHER INFORMATION CONTACT: By mail: Robert J. Taylor, Product Manager (PM) 25, Registration Division (7505C), Office of Pesticide Programs, Environmental Protection Agency, 401 M St. SW., Washington, DC 20460. Office location and telephone number: Rm. 241, CM #2, 1921 Jefferson Davis Highway, Arlington, VA 22202, (703) 305-6027; e-mail: taylor.robert @epamail.epa.gov. SUPPLEMENTARY INFORMATION: EPA issued a notice (PF-638; FRL-4986-8), published in the Federal Register of November 15, 1995 (60 FR 57422), which announced that Zeneca AG Products, 1800 Concord Pike, P.O. Box 15458, Wilmington, DE 19850-5458, had submitted a food additive petition (FAP) 1H5606 to EPA requesting that the Administrator, pursuant to section 409(e) of the FFDCA (21 U.S.C. 348), amend 40 CFR part 185 by establishing a food additive regulation for the residues of the herbicide sulfonium, trimethyl-salt with N-(phosphonomethyl)glycine (1:1) (formerly glyphosate-trimesium/sulfosate), in or on the processed food commodity raisins at 0.20 ppm (of which no more than 0.05 ppm is trimethylsulfonium). The scientific data submitted in the petition and other relevant material have been evaluated. The toxicological data considered in support of the tolerance include: 1. Several acute toxicology studies placing technical grade sulfonium, trimethyl-salt with N-(phosphonomethyl)glycine (1:1) in Toxicity Category III and Toxicity Category IV. 2. A subchronic feeding study with dogs fed dosage levels of 0, 2, 10 and 50 milligrams/kilogram/day (mg/kg/day) with a no observable effect level (NOEL) of 10 mg/kg/day. 3. A chronic feeding/carcinogenicity study in male and female rats fed dosage levels of 0, 100, 500 and 1,000 parts per million (ppm) (0, 4.2, 21.2 or 41.8 mg/kg/day in males and 0, 5.4, 27.0 or 55.7 mg/kg/day in females) with no carcinogenic effects observed under the conditions of the study at dose levels up to and including the 1,000 ppm highest dose tested (HDT) and a systemic NOEL of 1,000 ppm. There were no biologically significant effects observed in the study. The study was considered to be acceptable because the highest dose level tested was approaching one half of what would be considered an adequate dose level for carcinogenicity testing and because there was no indication of any carcinogenic response to warrant repeat of the study. This assessment was based on toxic effects observed in the subchronic and reproductive toxicity studies in rats at higher dose levels. 4. A chronic feeding/carcinogenicity study in male and female mice fed dosage levels of 0, 100, 1,000 and 8,000 ppm (0, 11.7, 118 or 991 mg/kg/day in males and 0, 16, 159 or 1,341 mg/kg/day in females) with no carcinogenic effects observed under the conditions of the study at dose levels up to and including the 8,000 ppm HDT (highest dose may have been excessive) and systemic NOEL of 1,000 ppm based on decreases in body weight and feed consumption (both sexes), increases in the incidences of white matter degeneration in the lumbar spinal cord (males only), and increased incidences of duodenal epithelial hyperplasia (females only). 5. A developmental toxicity study in rats given doses of 0, 30, 100 and 333 mg/kg/day with a developmental NOEL of 100 mg/kg/day based on significant decreases in fetal body weight, and a maternal NOEL of 100 mg/kg/day based on undetermined deaths of 2 dams at HDT; decreases in body weight, body weight gain and feed intake; and increased salivation, chromorhinorrhea and lethargy (HDT). 6. A developmental toxicity study in rabbits given doses of 0, 10, 40 and 100 mg/kg/day with a developmental NOEL of 40 mg/kg/day based on 4 abortions and a reduction in the number of live fetuses/doe. In addition, there were only 7 litters available for examination. This was not a sufficiently high number of animals to absolutely conclude that no developmental toxicity was occurring at the highest dose level. The maternal NOEL was 40 mg/kg/day based on 6 deaths/17 pregnant does, 4 abortions in 11 survivors and decreased body weight, body weight gain and food consumption. 7. A 2-generation reproduction study with rats fed dosage rates of 0, 150, 800 and 2,000 ppm (0, 6.1, 35 or 88.5) mg/kg/day in males and 0, 8, 41 or 98 mg/kg/day in females) with a reproductive/developmental NOEL of 150 ppm based on decreased litter size in the F0a and F1b litters at 2,000 ppm and on decreased mean pup weights during lactation in the second litters at 800 ppm and in all litters at 2,000 ppm; and a systemic NOEL of 150 ppm based on reduced feed intake, body weights and body weight gains and reduced absolute and sometimes relative thymus, heart, liver and kidney weights. 8. Mutagenicity data included two Ames tests with Salmonella typhimurium; a sex linked recessive lethal test with Drosophila melanoga; a forward mutation (mouse lymphoma) test; an in vivo bone marrow cytogenetics test in rats; a micronucleus assay in mice; an in vitro chromosomal aberration test in Chinese hamster ovary cells (CHO) (no aberrations were observed either with or without S9 activation and there were no increases in sister chromatid exchanges); and a morphological transformation test in mice (all negative). The reference dose (RfD) based on a chronic dog feeding study (NOEL of 10 mg/kg body weight (bwt)/day) and using a hundred-fold safety factor is calculated to be 0.1 mg/kg bwt/day. The theoretical maximum residue contribution (TMRC) for all proposed tolerances (almond hulls; imported bananas; citrus fruit group; corn; eggs; grapes; fat/meat by- products/meat of cattles, goats, hogs, horses and sheep; pome fruit group; poultry fat, liver, meat by-products and meat; soybeans; stone fruit group; tree nut group; and wheat; and food additive regulations (prunes, raisins and soybean hulls) is 0.019760 mg/kg/day or 19.760 percent of the RfD for the overall U.S. population. For U.S. subgroup populations, nonnursing infants and children 1 to 6 years of age, the current action, previously proposed tolerances and food additive regulations utilize a total of 0.044461 mg/kg/day and 44.461 percent of the RfD, assuming that residue levels are at the established tolerance levels and that 100 percent of the crop is treated. The RfD/Peer Review Committee, in a consensus review dated July 26, 1994, classified sulfonium, trimethyl-salt with N- (phosphonomethyl)glycine (1:1) as a Group E carcinogen based on no evidence of carcinogenicity in rat and mouse studies. An adequate analytical method, gas chromatography for the cation and liquid chromatography for the anion and its metabolite AMPA, is available for enforcement purposes, and the methodology will be published in the Pesticide Analytical Manual (PAM), Vol. II. There are presently no actions pending against the continued registration of this chemical. Based on the information and data considered, the Agency has determined that the establishment of a food additive regulation by amending 40 CFR part 185 will be safe. Therefore, the tolerance is established as set forth below. Any person adversely affected by this regulation may, within 30 days after publication of this document in the Federal Register, file written objections to the regulation and may also request a hearing on those objections. Objections and hearing requests must be filed with the Hearing Clerk, at the address given above (40 CFR 178.20). A copy of the objections and/or hearing requests filed with the Hearing Clerk should be submitted to the OPP docket for this rulemaking. The objections submitted must specify the provisions of the regulation deemed objectionable and the grounds for the objections (40 CFR 178.25). Each objection must be accompanied by the fee prescribed by 40 CFR 180.33(i). If a hearing is requested, the objections must include a statement of the factual issue(s) on which a hearing is requested, the requestor's contentions on such issues, and a summary of any evidence relied upon by the objector (40 CFR 178.27). A request for a hearing will be granted if the Administrator determines that the material submitted shows the following: There is genuine and substantial issue of fact; there is a reasonable possibility that available evidence identified by the requestor would, if established, resolve one or more of such issues in favor of the requestor, taking into account uncontested claims or facts to the contrary; and resolution of the factual issue(s) in the manner sought by the requestor would be adequate to justify the action requested (40 CFR 178.32). A record has been established for this rulemaking under the docket number [FAP 1H5606/R2211] (including any comments and data submitted electronically). A public version of this record, including printed, paper versions of electronic comments, which does not include any information claimed as CBI, is available for inspection from 8 a.m. to 4:30 p.m., Monday through Friday, excluding legal holidays. The public record is located in Room 1132 of the Public Response and Program Resources Branch, Field Operations Division (7506C), Office of Pesticide Programs, Environmental Protection Agency, Crystal Mall #2, 1921 Jefferson Davis Highway, Arlington, VA. The official record for this rulemaking, as well as the public version, as described above will be kept in paper form. Accordingly, EPA will transfer any copies of objections and hearing requests received electronically into printed, paper form as they are received and will place the paper copies in the official rulemaking record which will also include all comments submitted directly in writing. The official rulemaking record is the paper record maintained at the address in ``ADDRESSES'' at the beginning of this document. Under Executive Order 12866 (58 FR 51735, October 4, 1993), the Agency must determine whether the regulatory action is ``significant'' and therefore subject to all the requirements of the Executive Order (i.e., Regulatory Impact Analysis, review by the Office of Management and Budget (OMB)). Under section 3(f), the order defines ``significant'' as those actions likely to lead to a rule (1) having an annual effect on the economy of $100 million or more, or adversely and materially affecting a sector of the economy, productivity, competition, jobs, the environment, public health or safety, or State, local or tribal governments or communities (also known as ``economically significant''); (2) creating serious inconsistency or otherwise interfering with an action taken or planned by another agency; (3) materially altering the budgetary impacts of entitlement, grants, user fees, or loan programs; or (4) raising novel legal or policy issues arising out of legal mandates, the President's priorities, or the principles set forth in this Executive Order. Pursuant to the terms of this Executive Order, EPA has determined that this rule is not ``significant'' and is therefore not subject to OMB review. Pursuant to the requirements of the Regulatory Flexibility Act (Pub. L. 96-354, 94 Stat. 1164, 5 U.S.C. 601-612), the Administrator has determined that regulations establishing new tolerances or raising tolerance levels or establishing exemptions from tolerance requirements, or establishing or raising food additive regulations do not have a significant economic impact on a substantial number of small entities. A certification statement to this effect was published in the Federal Register of May 4, 1981 (46 FR 24950).",Rule,Final rule.,Environmental Protection Agency,ENVIRONMENTAL PROTECTION AGENCY,environmental-protection-agency,FAP 1H5606/R2211; FRL-5353-3,2070-AB78,40 CFR 185,,"This regulation becomes effective March 8, 1996. ADDRESSES: Written objections and hearing requests, identified by the document control number, [FAP 1H5606/R2211], may be submitted to: Hearing Clerk (1900), Environmental Protection Agency, Rm. M3708, 401 M St., SW., Washington, DC 20460. A copy of any objections and hearing requests filed with the Hearing Clerk should be identified by the document control number and submitted to: Public Response and Program Resources Branch, Field Operations Division (7506C), Office of Pesticide Programs, Environmental Protection Agency, 401 M St., SW., Washington , DC 20460. In person, bring copy of objections and hearing requests to Rm. 1132, CM #2, 1921 Jefferson Davis Hwy., Arlington, VA 22202. Fees accompanying objections shall be labeled ``Tolerance Petition Fees'' and forwarded to: EPA Headquarters Accounting Operations Branch, OPP (Tolerance Fees), P.O. Box 360277M, Pittsburgh, PA 15251. An electronic copy of objections and hearing requests filed with the Hearing Clerk may be submitted to OPP by sending electronic mail (e-mail) to: opp-docket@epamail.epa.gov.",https://www.federalregister.gov/documents/1996/03/08/96-5539/food-additive-regulation-for-sulfonium-trimethyl-salt-with-n--phosphonomethylglycine-11-formerly,https://www.govinfo.gov/content/pkg/FR-1996-03-08/pdf/96-5539.pdf,https://www.federalregister.gov/api/v1/documents/96-5539?publication_date=1996-03-08,keyword,tribal,1,tribal,https://www.federalregister.gov/documents/1996/03/08/96-5539/food-additive-regulation-for-sulfonium-trimethyl-salt-with-n--phosphonomethylglycine-11-formerly,https://www.federalregister.gov/api/v1/documents.json,2026-08-05,rulemaking,fr_document_type,Rule,type,,1,publication_date
96-11328,1996-05-08,1996-06-07,Amendment to Requirements for Authorized State Permit Programs Under Section 402 of the Clean Water Act,"EPA is amending the regulations concerning the minimum requirements for federally authorized State permitting programs under Section 402 of the Clean Water Act. This amendment will explicitly require that all States that administer or seek to administer a program under this part must provide an opportunity for judicial review in State Court of final permit decisions (including permit approvals and denials) that is sufficient to provide for, encourage, and assist public participation in the permitting process. A State will meet this standard where State law allows an opportunity for judicial review that is equivalent to that available to obtain judicial review in federal court of federally-issued NPDES permits. A State will not meet this standard if it narrowly restricts the class of persons who may challenge the approval or denial of State-issued permits. This rule is being issued because EPA has become aware of instances in which citizens are barred from challenging State-issued permits because of restrictive standing requirements in State law. The current regulations setting minimum requirements for State 402 permit programs do not explicitly address this problem. EPA believes this is a gap in the regulations setting minimum requirements for State 402 programs that needs to be addressed. Today's rule is intended to ensure effective and meaningful public participation in the permit issuance process by establishing a minimum level of public participation among State water pollution control programs. When citizens have the opportunity to challenge executive agency decisions in court, their ability to influence permitting decisions through other required elements of public participation, such as public comments and public hearings on proposed permits, is enhanced. This rule will promote effective and meaningful public participation and will minimize the possibility of unfair and inconsistent treatment of similarly situated people potentially affected by State permit decisions. This requirement does not apply to Indian Tribes. EPA will decide at a later time whether it should be extended to Tribes.",Rule,Final rule.,; Environmental Protection Agency,Amendment to Requirements for Authorized State Permit Programs Under; ENVIRONMENTAL PROTECTION AGENCY,; environmental-protection-agency,FRL-5500-9,2040-AC43,40 CFR 123,,"This rule is effective on June 7, 1996. Under EPA's State 402 program rules, States will have up to two years to adopt legislative changes, if necessary, to meet this requirement and maintain federal program authorization.",https://www.federalregister.gov/documents/1996/05/08/96-11328/amendment-to-requirements-for-authorized-state-permit-programs-under-section-402-of-the-clean-water,https://www.govinfo.gov/content/pkg/FR-1996-05-08/pdf/96-11328.pdf,https://www.federalregister.gov/api/v1/documents/96-11328?publication_date=1996-05-08,keyword,Indian; tribal; tribe,1,Indian,https://www.federalregister.gov/documents/1996/05/08/96-11328/amendment-to-requirements-for-authorized-state-permit-programs-under-section-402-of-the-clean-water,https://www.federalregister.gov/api/v1/documents.json,2026-08-05,rulemaking,fr_document_type,Rule,type,,1,publication_date
96-14731,1996-06-11,1996-07-11,Whaling Provisions; Consolidation and Revision of Regulations; Collection-of-Information Approval,"NMFS revises and updates regulations pertaining to aboriginal subsistence whaling by removing outdated provisions, codifying current practice, incorporating current term usage, and reorganizing the remaining provisions to make the whaling regulations more concise, better organized and, therefore, easier for the public to use. In addition, the regulations broaden the current mechanism for regulating International Whaling Commission (IWC) authorized whaling by the Alaska Eskimo Whaling Commission (AEWC) and other Native American groups. This rule also adds a reference to an approved collection-of-information under the Paperwork Reduction Act (PRA).",Rule,Final rule.,Commerce Department; National Oceanic and Atmospheric Administration,DEPARTMENT OF COMMERCE; National Oceanic and Atmospheric Administration,commerce-department; national-oceanic-and-atmospheric-administration,Docket No. 960312069-6153-02; I.D. 022796F,0648-AI81,15 CFR 902,,"July 11, 1996.",https://www.federalregister.gov/documents/1996/06/11/96-14731/whaling-provisions-consolidation-and-revision-of-regulations-collection-of-information-approval,https://www.govinfo.gov/content/pkg/FR-1996-06-11/pdf/96-14731.pdf,https://www.federalregister.gov/api/v1/documents/96-14731?publication_date=1996-06-11,keyword,"""Native American""; Indian; tribal; tribe",1,"""Native American""",https://www.federalregister.gov/documents/1996/06/11/96-14731/whaling-provisions-consolidation-and-revision-of-regulations-collection-of-information-approval,https://www.federalregister.gov/api/v1/documents.json,2026-08-05,rulemaking,fr_document_type,Rule,type,,1,publication_date
96-19350,1996-07-31,1996-08-30,Community Development Block Grants for Indian Tribes and Alaska Native Villages,"This rule makes final the requirements for the Community Development Block Grant Program for Indian tribes and Alaska native villages. Several revisions have been made to the previously published interim rule by this final rule. These revisions have been made in response to public comments, to correct errors and unintentional omissions in the interim rule, and to include in this part those applicable sections of subparts C, J, and K of part 570 which were included by reference in the interim rule.",Rule,Final rule.,; Housing and Urban Development Department; ,Community Development Block Grants for Indian Tribes and Alaska Native; DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT; Office of the Secretary,; housing-and-urban-development-department; ,Docket No. FR-2880-F-11,2577-AB31,24 CFR 953,,"August 30, 1996.",https://www.federalregister.gov/documents/1996/07/31/96-19350/community-development-block-grants-for-indian-tribes-and-alaska-native-villages,https://www.govinfo.gov/content/pkg/FR-1996-07-31/pdf/96-19350.pdf,https://www.federalregister.gov/api/v1/documents/96-19350?publication_date=1996-07-31,keyword,"""Alaska Native""; ""Native American""; Indian; reservation; tribal; tribe",1,"""Alaska Native""; Indian",https://www.federalregister.gov/documents/1996/07/31/96-19350/community-development-block-grants-for-indian-tribes-and-alaska-native-villages,https://www.federalregister.gov/api/v1/documents.json,2026-08-05,rulemaking,fr_document_type,Rule,type,,1,publication_date
96-25054,1996-10-02,1996-11-01,Office of the Assistant Secretary for Community Planning and Development; Streamlining the Emergency Shelter Grants Program,"This final rule amends HUD's regulations for the Emergency Shelter Grants (ESG) Program. In an effort to comply with the President's regulatory reform initiatives, this rule will streamline the regulations by eliminating provisions that are redundant of statutes or are otherwise unnecessary. This final rule will make the ESG regulations clearer and more concise. In addition, this rule will reflect provisions implementing legislation that has amended the program since the last general rule amending the ESG regulations. The legislation has, among other changes to the program: Extended program entitlements to Indian tribes; established new limits on expenditures for specified purposes, including administrative costs, services, and prevention activities; reduced the amount required to be matched by grantees and recipients, especially those non-State recipients that are least capable of meeting matching funds requirements; and mandated habitability standards and required the implementation of procedures to ensure confidentiality of records relating to family violence services.",Rule,Final rule.,Housing and Urban Development Department,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,housing-and-urban-development-department,Docket No. FR-4088-F-01,2506-AB84,24 CFR 576,,"November 1, 1996.",https://www.federalregister.gov/documents/1996/10/02/96-25054/office-of-the-assistant-secretary-for-community-planning-and-development-streamlining-the-emergency,https://www.govinfo.gov/content/pkg/FR-1996-10-02/pdf/96-25054.pdf,https://www.federalregister.gov/api/v1/documents/96-25054?publication_date=1996-10-02,keyword,"""Native American""; Indian; tribal; tribe",1,Indian,https://www.federalregister.gov/documents/1996/10/02/96-25054/office-of-the-assistant-secretary-for-community-planning-and-development-streamlining-the-emergency,https://www.federalregister.gov/api/v1/documents.json,2026-08-05,rulemaking,fr_document_type,Rule,type,,1,publication_date
97-11677,1997-05-05,1997-05-01,Fisheries Off West Coast and Western Pacific States; West Coast Salmon Fisheries; 1997 Management Measures,"NMFS establishes fishery management measures for the ocean salmon fisheries off Washington, Oregon, and California for 1997 and for 1998 salmon seasons opening earlier than May 1, 1998. Specific fishery management measures vary by fishery and area. The measures establish fishing areas, seasons, quotas, legal gear, recreational fishing days and catch limits, possession and landing restrictions, and minimum lengths for salmon taken in the exclusive economic zone (3-200 nautical miles (nm)) off Washington, Oregon, and California. These management measures are intended to prevent overfishing and to apportion the ocean harvest equitably among treaty Indian and non- treaty commercial and recreational fisheries. The measures are intended to allow a portion of the salmon runs to escape the ocean fisheries to provide for spawning escapement and inside fisheries.",Rule,Annual management measures for the ocean salmon fishery; request for comments.,Commerce Department; National Oceanic and Atmospheric Administration,DEPARTMENT OF COMMERCE; National Oceanic and Atmospheric Administration,commerce-department; national-oceanic-and-atmospheric-administration,Docket No. 970429101-7101-01; I.D. 042497B,0648-AJ09,50 CFR 660,,"Effective from 0001 hours Pacific Daylight Time (P.d.t.), May 1, 1997, until the effective date of the 1998 management measures, as published in the Federal Register. Comments must be received by June 4, 1997.",https://www.federalregister.gov/documents/1997/05/05/97-11677/fisheries-off-west-coast-and-western-pacific-states-west-coast-salmon-fisheries-1997-management,https://www.govinfo.gov/content/pkg/FR-1997-05-05/pdf/97-11677.pdf,https://www.federalregister.gov/api/v1/documents/97-11677?publication_date=1997-05-05,keyword,Indian; tribal; tribe,1,Indian,https://www.federalregister.gov/documents/1997/05/05/97-11677/fisheries-off-west-coast-and-western-pacific-states-west-coast-salmon-fisheries-1997-management,https://www.federalregister.gov/api/v1/documents.json,2026-08-05,rulemaking,fr_document_type,Rule,type,,1,publication_date
